cancer,arm,C_random,C_loso,C_loso_clin_plus_image
TCGA-BRCA,NO-IMAGE: site one-hot,0.5752755379148986,,
TCGA-BRCA,NO-IMAGE: age+stage,0.7199714261131663,0.7195006426330212,
TCGA-BRCA,IMAGE: UNI_v2,0.6172876251880429,0.5335796020846424,0.6691011066707466
TCGA-BRCA,IMAGE: Virchow2,0.6298040390742641,0.5561865117955748,0.6849246131217945
TCGA-BRCA,IMAGE: Conch_v15,0.6020320081534372,0.534233146339543,0.6589706465914662
TCGA-BRCA,IMAGE: Phikon_v2,0.5958464942908214,0.492551110929515,0.6476438602199023
TCGA-COAD,NO-IMAGE: site one-hot,0.7061633700739847,,
TCGA-COAD,NO-IMAGE: age+stage,0.695309301149066,0.6647135113026275,
TCGA-COAD,IMAGE: UNI_v2,0.6119141565795165,0.6149097947885547,0.6603968694541217
TCGA-COAD,IMAGE: Virchow2,0.6310236729105833,0.6431370760679609,0.6881122157588604
TCGA-COAD,IMAGE: Conch_v15,0.628813589348367,0.6139039398461642,0.6698600424414
TCGA-COAD,IMAGE: Phikon_v2,0.6211396678832058,0.624058971413196,0.6705768237752794
TCGA-STAD,NO-IMAGE: site one-hot,0.5530994776627388,,
TCGA-STAD,NO-IMAGE: age+stage,0.5874605399813547,0.58542541965742,
TCGA-STAD,IMAGE: UNI_v2,0.6360690929600383,0.6342820680518739,0.6436639836694463
TCGA-STAD,IMAGE: Virchow2,0.6364793097216087,0.6406002505977912,0.6436110661922451
TCGA-STAD,IMAGE: Conch_v15,0.62542852347185,0.6321111508328332,0.6551879421756287
TCGA-STAD,IMAGE: Phikon_v2,0.6083557350415011,0.6134899486753298,0.6391336109233329
