fm,algorithm,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,0.0001,5,0.6226666808128357,0.5949552481692433,0.009821501628645337,0.3437229066724674,0.008779030999473976,0.2883051786002667,0.015305845293180272,0.42862706721210897,0.007142537601852154,0.42862706721210897,138.8,88.8,4292.0,3279881,4166af77d9b1;94c510862a46;aa60543f652b;aae0d8bad9e3;f4154806036a
CTransPath,FedAvg,0.0003,5,0.639555561542511,0.6066720911310008,0.03606218404043591,0.36981670590159965,0.04226509220519521,0.31394139196008575,0.03455587246750706,0.4558922901055663,0.056456595381615696,0.4558922901055663,108.2,46.0,3342.2,3279881,12daaeca7427;32a772496af8;50f762435343;7738a2a860f9;f50b74fada36
CTransPath,FedAvg,0.001,5,0.7288889169692994,0.7010577705451586,0.08987017198967166,0.4942938807419116,0.1365103962305014,0.44527149864449705,0.15748604604176247,0.5894559263910601,0.12759504916936537,0.5894559263910601,187.2,127.8,5792.0,3279881,2a4d4dd08651;5d65d0ff9423;7e7d49b9fe39;91decd71d136;b2d74d7c2571
CTransPath,FedBN,0.0001,5,0.20120964161703822,0.2367778681855167,0.07557278558378873,0.18141506264525661,0.012751266787439153,0.12723677064576197,0.0236438614074107,0.1693323848970299,0.03503640198726075,0.1693323848970299,159.6,109.6,4842.0,3281417,436dc00ca452;458a06716c95;893d3bff9e9f;b7bd1e62282a;c936ff6640c1
CTransPath,FedBN,0.0003,5,0.2670618971399402,0.3355573637103336,0.09139143885073314,0.21571098850890785,0.03537532666659868,0.16309576369480633,0.033919139855024615,0.2343406458790958,0.03907227103178709,0.2343406458790958,137.0,83.8,4153.8,3281417,13dca61c2e7b;a57e83341258;ca6bc4d0257f;e5a69ce83519;fa6456e49b0d
CTransPath,FedBN,0.001,5,0.32088616040013823,0.45711960943856794,0.09627365982409987,0.2745784712343896,0.03590416839710506,0.23628626884301887,0.032410853336914125,0.3062788605597484,0.04307100232081272,0.3062788605597484,157.0,96.4,4776.6,3281417,240467136a3d;2bdd87889b88;4cee0c25778b;7117710b713d;b3801572cd6f
CTransPath,FedProx,0.0001,5,0.6204444527626037,0.5895850284784377,0.007492832828785238,0.34170630078704683,0.008517145277190514,0.2904080984224783,0.016640103996942303,0.4249245031791754,0.004161201323311712,0.4249245031791754,150.8,100.8,4665.8,3279881,02a7d1da1135;178863f465e7;7f4e3bca191c;be7c7d8d01c9;f1f50161013a
CTransPath,FedProx,0.0003,5,0.6417778015136719,0.6164361269324654,0.034943298668309766,0.3758500450365251,0.044387237700853406,0.32077617018267557,0.04007127316786305,0.46542429480138187,0.058192207277667954,0.46542429480138187,113.8,51.6,3506.6,3279881,3477df5ada8e;86d9a1f49249;b34a5a20b297;b56114aff14e;b8b9ed836ded
CTransPath,FedProx,0.001,5,0.8302222490310669,0.8087876322213182,0.08875155558442392,0.6889837227262495,0.1673725896202591,0.6859831353766398,0.18339196737412702,0.7379184237995073,0.1302088832383621,0.7379184237995073,313.2,262.4,9688.8,3279881,0ca449c57e0f;334b8b7598a0;5cf32174760f;7710831e5020;b99f40d99703
CTransPath,SCAFFOLD,0.0001,5,0.3057777792215347,0.30707892595606184,0.13021714463117287,0.1769286639849463,0.06689920220206529,0.09826447544582279,0.06999592438077916,0.24577127938931992,0.08995180931343372,0.24577127938931992,131.0,57.2,4049.2,3279881,1315d4504da1;1fcc176ab83f;2af2807c0d72;622fc34470e6;a7710f869ba5
