diff,lo,hi,lo_pat,hi_pat,seed_diff_mean,seed_diff_sd,seed_t_lo,seed_t_hi,n_seed_pairs,fm,optimizer,algorithm
0.0110659072416599,-0.05082265209454573,0.07630527132355652,0.005101736048174235,0.017916677958017855,0.011065907241659878,0.0878887523981501,-0.09806239245816784,0.12019420694148758,5.0,UNI_v2,adam,FedProx
0.015459723352318933,-0.0017611189499590757,0.03543128689492297,0.009719208097123849,0.02189707525927368,0.015459723352318955,0.01728928345067196,-0.00600775746312056,0.03692720416775847,5.0,Virchow2,adam,FedProx
0.03824247355573629,-0.05145671471457971,0.12685039530911574,0.031203013721035445,0.04578795863951035,0.03824247355573638,0.07063243105051925,-0.04945927318530304,0.1259442202967758,5.0,Phikon_v2,adam,FedProx
0.010903173311635483,-0.015706159185437232,0.0401671518009592,0.005042780695767327,0.01679043562322515,0.010903173311635506,0.04503791977988346,-0.04501879023303498,0.06682513685630599,5.0,Conch_v15,adam,FedProx
0.009764035801464566,-0.03122849451145708,0.05008267935273274,0.0041728414647803965,0.015473771531742656,0.00976403580146461,0.012890951601102419,-0.006242194704211432,0.025770266307140653,5.0,CTransPath,adam,FedProx
0.003742880390561476,-0.018635450086903645,0.02438716385732946,-0.0024792433639960307,0.0101516884737558,0.0037428803905614092,0.011994384873256833,-0.011150115487161417,0.018635876268284238,5.0,Midnight12k,adam,FedProx
-0.004556550040683505,-0.06341522470914782,0.05453291097609527,-0.009887025626127675,0.0009940766438005643,-0.004556550040683482,0.07760762184419712,-0.10091914007083504,0.09180603998946808,5.0,ResNet50,adam,FedProx
0.014863032275562774,-0.006081467048229752,0.03573681826313259,,,,,,,,MEAN_PATHOLOGY,adam,FedProx
-0.22620016273392995,-0.29222981172920504,-0.1631114246093857,-0.2497601152550628,-0.2035848621565207,-0.22620016273393,0.05791647757389449,-0.29811296784021046,-0.15428735762764956,5.0,UNI_v2,adam,SCAFFOLD
-0.2214808787632222,-0.2770148390120999,-0.16859342597502314,-0.24687143012511167,-0.195505584305611,-0.22148087876322217,0.054416800313016093,-0.2890482606093376,-0.15391349691710676,5.0,Virchow2,adam,SCAFFOLD
-0.36956875508543535,-0.4469056487805933,-0.2988506806727507,-0.39426163699631844,-0.3439369242317547,-0.3695687550854353,0.10379695139987187,-0.498449692761962,-0.2406878174089086,5.0,Phikon_v2,adam,SCAFFOLD
-0.2074857607811228,-0.26876444039824904,-0.14820284580635648,-0.23133421581537184,-0.1827239495100919,-0.20748576078112285,0.07757647802475523,-0.3038096806519069,-0.11116184091033883,5.0,Conch_v15,adam,SCAFFOLD
-0.23677786818551672,-0.33725411852659926,-0.14205672966732477,-0.2585159467567646,-0.21306023803931254,-0.23677786818551666,0.127446487952838,-0.39502358397406534,-0.07853215239696798,5.0,CTransPath,adam,SCAFFOLD
-0.24214808787632225,-0.28412982910230133,-0.2026350042892493,-0.2653613962363469,-0.21897417336073247,-0.2421480878763222,0.03794528152244072,-0.28926337784444334,-0.19503279790820105,5.0,Midnight12k,adam,SCAFFOLD
-0.04344995931651752,-0.12879566404300677,0.038830496992522896,-0.054251203719076845,-0.032263371182846765,-0.0434499593165175,0.044960678441880245,-0.09927601507261631,0.012376096439581305,5.0,ResNet50,adam,SCAFFOLD
-0.2506102522375916,-0.2804142421860943,-0.219492687930858,,,,,,,,MEAN_PATHOLOGY,adam,SCAFFOLD
-0.44003254678600484,-0.5451892622222911,-0.34518021944216576,-0.4728363195360854,-0.4074011637492972,-0.4400325467860049,0.10822326348567936,-0.574409476824293,-0.3056556167477168,5.0,UNI_v2,adam,FedBN
-0.48966639544345,-0.5511809387807791,-0.4278107750868403,-0.5197659183261889,-0.4583023335675952,-0.48966639544345003,0.06655051770169863,-0.5722997773354715,-0.4070330135514285,5.0,Virchow2,adam,FedBN
-0.4358014646053703,-0.5117012330439124,-0.3570558460032144,-0.4618526672349997,-0.40880316886651935,-0.4358014646053703,0.08146170237403859,-0.5369495276756041,-0.33465340153513645,5.0,Phikon_v2,adam,FedBN
-0.5205858421480878,-0.5804117953230922,-0.45595739263282964,-0.549650792960318,-0.49201635267189003,-0.5205858421480879,0.07788608079176372,-0.6172941846284107,-0.42387749966776517,5.0,Conch_v15,adam,FedBN
-0.2711147274206672,-0.35761668553864473,-0.18886359725471236,-0.29740076650855723,-0.2433726304882261,-0.2711147274206672,0.09392581781860458,-0.3877390339078741,-0.1544904209334603,5.0,CTransPath,adam,FedBN
-0.4318958502847844,-0.5452493654859244,-0.3331129570957095,-0.46440457300365606,-0.39846215732577445,-0.4318958502847844,0.13878184835355573,-0.6042162749895689,-0.2595754255799999,5.0,Midnight12k,adam,FedBN
0.011065907241659845,-0.08880284176153917,0.09639653853509272,-0.01608001005583634,0.039935943750453305,0.011065907241659895,0.14824493857154125,-0.1730044958985514,0.1951363103818712,5.0,ResNet50,adam,FedBN
-0.4315161377813941,-0.47096927017604184,-0.39224547397650666,,,,,,,,MEAN_PATHOLOGY,adam,FedBN
0.05679414157851903,0.020208181245823565,0.09991975308641984,0.04639273418257892,0.0677881846720068,0.05679414157851912,0.056191533544807624,-0.01297686262792764,0.1265651457849659,5.0,UNI_v2,adam_sel,FedProx
0.01659886086248985,-0.017415783589034894,0.04976219512195101,0.010762793107915525,0.022278896036522153,0.01659886086248983,0.04679343344994796,-0.04150286080465432,0.07470058252963398,5.0,Virchow2,adam_sel,FedProx
0.014971521562245793,-0.007754871829035251,0.0506393738588104,0.009135644922888722,0.021035980078144587,0.014971521562245727,0.038598313323664424,-0.032954614483137065,0.06289765760762851,5.0,Phikon_v2,adam_sel,FedProx
0.0061838893409276174,-0.007897495760909637,0.020942788582114756,2.1649348980190584e-16,0.012161552221444605,0.006183889340927595,0.006575135508815888,-0.001980219703680281,0.01434799838553547,5.0,Conch_v15,adam_sel,FedProx
0.10772986167615939,-0.0016026606425704915,0.20463846186894133,0.09369204064013655,0.12159555277399405,0.1077298616761595,0.14556229390364078,-0.07300959815994651,0.2884693215122655,5.0,CTransPath,adam_sel,FedProx
-0.0016273393002441683,-0.029543710471809745,0.026722009135604317,-0.00926676358087391,0.006170735289530411,-0.0016273393002441238,0.03236319251643833,-0.04181155031484308,0.038556871714354825,5.0,Midnight12k,adam_sel,FedProx
-0.0006509357200976673,-0.06959454922484441,0.06208199356913174,-0.009795794779207109,0.007624091722123762,-0.000650935720097634,0.07833952909707097,-0.0979223086361669,0.09662043719597162,5.0,ResNet50,adam_sel,FedProx
0.03344182262001625,0.012788981654221033,0.053589309206198824,,,,,,,,MEAN_PATHOLOGY,adam_sel,FedProx
-0.2356387306753458,-0.2872759853416786,-0.18390663621793862,-0.25873720171070574,-0.2127057594098733,-0.23563873067534585,0.0637695906620195,-0.3148191355805664,-0.1564583257701253,5.0,UNI_v2,adam_sel,SCAFFOLD
-0.22782750203417412,-0.2870601919132928,-0.17216881558937164,-0.2538871085165762,-0.20234022186437656,-0.22782750203417415,0.06941036122711018,-0.31401184867219534,-0.141643155396153,5.0,Virchow2,adam_sel,SCAFFOLD
-0.4009764035801464,-0.4456557873710479,-0.35359630790665286,-0.4302536006495963,-0.37275461145996874,-0.40097640358014647,0.04014039466130753,-0.4508172865047826,-0.35113552065551035,5.0,Phikon_v2,adam_sel,SCAFFOLD
-0.22733930024410087,-0.2760433175782727,-0.1769304529923949,-0.25204858862577545,-0.2033610819895829,-0.22733930024410093,0.04250051362756678,-0.28011065792061907,-0.1745679425675828,5.0,Conch_v15,adam_sel,SCAFFOLD
-0.08315703824247356,-0.16562327209953742,-0.00658222262338164,-0.10450064328786046,-0.060727751756440206,-0.08315703824247356,0.0702385921741443,-0.17036976942962517,0.0040556929446780715,5.0,CTransPath,adam_sel,SCAFFOLD
