fm,optimizer,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,protocol
CTransPath,adam,0.0001,5,0.9711111307144165,0.9479251423921887,0.006249915173204739,0.9385884413184385,0.008214396453991748,0.9381681509104421,0.007287035580526903,0.9375033154949856,0.006952816225499408,,116.2,66.2,12782.0,3279881,25fa436cf578;45b255dd6dcb;9cf9efafc57e;ab96626ab33f;d026cfc876be,tuned
CTransPath,sgd,0.01,5,0.9728889226913452,0.945646867371847,0.006645245561951297,0.9397074731670552,0.0075105896469151385,0.9374889007768106,0.007072454109415734,0.9375718710002493,0.006921664122143493,,193.8,143.8,21318.0,3279881,09da0ff82898;2d7ad4ad8c6a;76b504e1d6de;8923177ae9bf;c43ab54f11ae,tuned
Conch_v15,adam,0.0001,5,0.9764444708824158,0.9414157851912124,0.003305141743139143,0.9339267110414451,0.004743936708419539,0.932668087249845,0.0049424690912777056,0.9353397866168711,0.0041602646122077865,,106.4,42.2,11704.0,3279881,2e25389159f0;4e8676fc2da1;73ccc5010342;b4fb5f2906bd;cfc1825e50cd,tuned
Conch_v15,sgd,0.01,5,0.9795555710792542,0.943205858421481,0.0006807648710610469,0.9358691728859908,0.004171344817461046,0.9363365479584482,0.0017415699691664403,0.9393705293560141,0.0029823006048874277,,131.4,78.0,14454.0,3279881,00272597517c;8784d243f9e1;bd725f3107e2;c257659811dd;ce3c42fee930,tuned
Midnight12k,adam,0.0003,5,0.9875555753707885,0.9526444263628967,0.0035185920765564687,0.9443106181652035,0.0049552891771050935,0.944446476754556,0.00514302167204933,0.9381536533193865,0.003453560434596782,,119.8,67.6,13178.0,6425609,0276f2f7cd76;737efa1260ec;8bbc1d0704f8;d52162416d09;f07d2a360162,tuned
Midnight12k,sgd,0.03,5,0.9826666831970214,0.9505288852725794,0.003011677058311133,0.9412568564808902,0.002685774465353984,0.9430005701163712,0.002621845862783089,0.9405411928677274,0.004375233065764087,,169.4,119.4,18634.0,6425609,1cc29df66f8c;263185331447;4b3535e9e1cf;5b6a1059d025;a7526ab45f21,tuned
Phikon_v2,adam,0.0003,5,0.9937777876853943,0.9681041497152156,0.003565321773833492,0.9636632219706615,0.005835227270373388,0.9643254374570741,0.004898887710723706,0.9621064908498879,0.0058365682450557165,,120.4,68.0,13244.0,4328457,27890006590b;3136f4971a63;4ea6b0d4815d;7109a6db6db6;eff7d7b0df0b,tuned
Phikon_v2,sgd,0.01,5,0.9942222356796264,0.9684296175752645,0.0010608954280232224,0.9655594754478859,0.0014477594375582005,0.9657527967343886,0.0009675907716855079,0.9637308050781572,0.002621230868812343,,104.2,52.2,11462.0,4328457,5c2cb8e24306;85ada1be80e6;93ef44d48269;a33c642feb50;ddcc5ae1c1d1,tuned
ResNet50,adam,0.0001,5,0.9533333659172059,0.9121236777868186,0.0036840460285343596,0.901836052069082,0.006906756324397162,0.8986900129427691,0.005379363557843762,0.9007529523997253,0.006844854374358527,,212.4,162.4,23364.0,4328457,0d13e3dd46f8;19caede37a6c;4f35cc7c7e05;ccefa5fb2cef;cd545cdbf1aa,tuned
ResNet50,sgd,0.03,5,0.9502222418785096,0.9062652563059398,0.004204397293006972,0.8932804657451557,0.007360483246240827,0.8899054861156349,0.005714788733277078,0.8897407268860947,0.006970636403699506,,208.0,158.0,22880.0,4328457,0eb0fe9e9c3b;4b5647641b88;790ade5270b6;9ef86b24e291;d62ea93bb84e,tuned
UNI_v2,adam,0.0003,5,0.9875555753707885,0.9684296175752645,0.005254315473055496,0.9629545265154249,0.006644671642788344,0.9614288156506788,0.0055381102195817666,0.965179096032645,0.0034147799137804937,,116.6,56.6,12826.0,6425609,08afa817575b;487799338813;6544c0ee755e;9bc418b52c3e;faa098860594,tuned
UNI_v2,sgd,0.01,5,0.9875555753707885,0.9687550854353132,0.003285049509875722,0.9649695702304483,0.0031672698967781378,0.9628039347111338,0.0030337538157316824,0.966841354964408,0.003467895789935437,,113.4,60.4,12474.0,6425609,3ec02afdaee5;49090863d659;56f1121fa95e;6506748c2e34;cbb4fea4424f,tuned
Virchow2,adam,0.0001,5,0.9840000152587891,0.9661513425549227,0.0037990618486342387,0.9645425583311408,0.003066431048915001,0.9600922345945874,0.004507294029348184,0.9575350265045298,0.0037822104550303062,,121.6,69.8,13376.0,10619913,0fb12b5afbf1;42fb494d6d9a;6d468d134ac3;ddadcbd7b5b4;f31ae91eb176,tuned
