fm,optimizer,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,adam,0.0001,5,0.9711111307144165,0.9479251423921887,0.006249915173204739,0.9385884413184385,0.008214396453991748,0.9381681509104421,0.007287035580526903,0.9375033154949856,0.006952816225499408,,116.2,66.2,12782.0,3279881,25fa436cf578;45b255dd6dcb;9cf9efafc57e;ab96626ab33f;d026cfc876be
CTransPath,adam,0.0003,5,0.967555582523346,0.9461350691619203,0.003172268297740932,0.9375699895879979,0.006757504320897339,0.9358378751067822,0.0036650624361772408,0.9379063814358929,0.003761238931345034,,111.0,54.4,12210.0,3279881,936a8147a3b8;b3cae9fc6289;c5e46ab09666;d5e2f28e0f6a;ef306938683f
CTransPath,adam,0.001,5,0.9680000305175781,0.942880390561432,0.0053788425975714845,0.9365877754796627,0.00781427903759586,0.9343250199464537,0.007843116436267828,0.9348055571932393,0.006804853549279183,,156.4,106.4,17204.0,3279881,1b258dfbd202;5cdba09522c7;71e0cd470055;ac937c1257bc;b53df6c53ce7
CTransPath,sgd,0.003,5,0.9666666865348816,0.937672904800651,0.002735188985186599,0.9327182383925038,0.004597584647041635,0.9274637733579649,0.0023032009806403654,0.9257468446071362,0.0031252564002172854,,237.0,187.0,26070.0,3279881,27f8450cac7c;72852d7151fe;96cdb07bddc8;c31271e447b2;d2519380badc
CTransPath,sgd,0.01,5,0.9728889226913452,0.945646867371847,0.006645245561951297,0.9397074731670552,0.0075105896469151385,0.9374889007768106,0.007072454109415734,0.9375718710002493,0.006921664122143493,,193.8,143.8,21318.0,3279881,09da0ff82898;2d7ad4ad8c6a;76b504e1d6de;8923177ae9bf;c43ab54f11ae
CTransPath,sgd,0.03,5,0.972444474697113,0.940113913751017,0.009071595594576824,0.9297077220716419,0.017035535132843914,0.9281975349048409,0.012953129079035893,0.9306550978725454,0.007308969082394496,,127.6,77.2,14036.0,3279881,259e830f5bec;8633ffb1a479;9c3e38849207;bee45bc5848a;f43750ae093a
CTransPath,sgd,0.1,5,0.9515555739402771,0.9244914564686738,0.008714246206991214,0.9177848778974717,0.009736989821375174,0.9089541501378025,0.010979371945752768,0.9089282332237059,0.009690613429652457,,138.4,88.0,15224.0,3279881,58515aa2ddff;846eb1717222;bb8f0621dd96;c61d9364cfff;fd27efe12b43
Conch_v15,adam,0.0001,5,0.9764444708824158,0.9414157851912124,0.003305141743139143,0.9339267110414451,0.004743936708419539,0.932668087249845,0.0049424690912777056,0.9353397866168711,0.0041602646122077865,,106.4,42.2,11704.0,3279881,2e25389159f0;4e8676fc2da1;73ccc5010342;b4fb5f2906bd;cfc1825e50cd
Conch_v15,adam,0.0003,5,0.9751111268997192,0.940113913751017,0.004765354097427617,0.9346749663266183,0.0049945464436022225,0.9324092432800368,0.005421560354903457,0.934788642468351,0.003929901258680267,,121.2,59.2,13332.0,3279881,0c22f6ad2d4c;19448ff79b5d;263b35f4a45a;49d73f1494e9;5eb2c5cf46b6
Conch_v15,adam,0.001,5,0.9751111388206481,0.9365337672904801,0.00635496312116082,0.9309484455776496,0.008507956789418238,0.9277559593756264,0.008104480884992183,0.9330425311377232,0.008599443750944487,,110.2,49.2,12122.0,3279881,058d2e13df33;455419c720d6;6851470217ac;b698239cf225;ca6a36fe058b
