grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
main,UNI_v2,05649fcd3a0b,FedProx,adam,0.0003,0,torch.float16,0.8616761594792515,0.8616761594792515,0.8616761594792515,0,0,0.0,0.0
main,UNI_v2,11e125f45a47,FedAvg,adam,0.0003,1,torch.float16,0.7998372660699756,0.7998372660699756,0.8006509357200976,1,1,0.08136696501219731,0.08136696501219731
main,UNI_v2,2a7f83531c92,FedAvg,adam,0.0003,3,torch.float16,0.9104963384865744,0.9104963384865744,0.9104963384865744,0,0,0.0,0.0
main,UNI_v2,3640e6c45e9f,FedProx,adam,0.0003,3,torch.float16,0.7990235964198535,0.7990235964198535,0.7982099267697315,1,1,-0.08136696501220841,-0.08136696501220841
main,UNI_v2,3d8d3cc0aee2,SCAFFOLD,adam,0.0003,3,torch.float16,0.6330349877949553,0.6338486574450773,0.6346623270951993,1,3,0.08136696501219731,0.16273393002440573
main,UNI_v2,4ff0a8508e13,FedProx,adam,0.0003,2,torch.float16,0.8689991863303499,0.8689991863303499,0.8681855166802278,1,1,-0.08136696501220841,-0.08136696501220841
main,UNI_v2,5d90f00fc564,FedAvg,adam,0.0003,2,torch.float16,0.887713588283157,0.887713588283157,0.887713588283157,0,0,0.0,0.0
main,UNI_v2,62e4c3d52ab4,FedAvg,adam,0.0003,0,torch.float16,0.7493897477624084,0.7493897477624084,0.7493897477624084,0,0,0.0,0.0
main,UNI_v2,8e32388cb77d,SCAFFOLD,adam,0.0003,0,torch.float16,0.5589910496338486,0.5589910496338486,0.5589910496338486,3,0,0.0,0.0
main,UNI_v2,8f17c79f9637,SCAFFOLD,adam,0.0003,1,torch.float16,0.6558177379983726,0.6558177379983726,0.6558177379983726,0,0,0.0,0.0
main,UNI_v2,a2b6fcfe0b48,SCAFFOLD,adam,0.0003,2,torch.float16,0.6110659072416599,0.6110659072416599,0.611879576891782,1,1,0.08136696501220841,0.08136696501220841
main,UNI_v2,d3435ac5a309,SCAFFOLD,adam,0.0003,4,torch.float16,0.5890968266883645,0.5890968266883645,0.5890968266883645,2,1,0.0,0.0
main,UNI_v2,d9fd4a73bca1,FedProx,adam,0.0003,1,torch.float16,0.7949552481692432,0.7949552481692432,0.7949552481692432,0,0,0.0,0.0
main,UNI_v2,dfbb2265cba3,FedAvg,adam,0.0003,4,torch.float16,0.8323840520748577,0.8323840520748577,0.8323840520748577,1,1,0.0,0.0
