optimizer,fm,algorithm,rho,p,acc_<15,n_<15,acc_15-29,n_15-29,acc_30-59,n_30-59,acc_>=60,n_>=60
adam,CTransPath,FedAvg,0.3437476017634593,0.00028884032424194753,0.32992592592592596,45,0.3731677018633541,23,0.6226998717722699,26,0.7046734281302125,13
adam,CTransPath,FedBN,0.39927214859340243,2.0427182292932542e-05,0.15377777777777776,45,0.20843277495451407,23,0.3072551321646344,26,0.41322014221761005,13
adam,CTransPath,FedProx,0.351983961033584,0.0002008880559627615,0.33525925925925926,45,0.39572118702553494,23,0.6265817666496398,26,0.7170015109694806,13
adam,CTransPath,SCAFFOLD,0.26196592020138104,0.006415700942713889,0.2295132275132275,45,0.24003858460380198,23,0.3764122997833405,26,0.42724840403201314,13
adam,Conch_v15,FedAvg,-0.0005514654242752265,0.9955020283568069,0.8013333333333336,45,0.8367805383022775,23,0.8436189903610719,26,0.9386330728344459,13
adam,Conch_v15,FedBN,0.4269912575923524,4.506578192547689e-06,0.13785185185185184,45,0.18570016939582157,23,0.33027807034594364,26,0.42345254122364573,13
adam,Conch_v15,FedProx,-0.0011128479428025165,0.990923314524568,0.8136296296296296,45,0.8634403036576951,23,0.8518259744277843,26,0.943227852239294,13
adam,Conch_v15,SCAFFOLD,0.2013299876042129,0.0375754450981808,0.512962962962963,45,0.6035645272601794,23,0.6469143325251923,26,0.724354074650901,13
adam,Midnight12k,FedAvg,-0.03656926586432663,0.7084359241963484,0.8113333333333335,45,0.8088440303657695,23,0.8005143373469165,26,0.8804678783233322,13
adam,Midnight12k,FedBN,0.4504397939466044,1.125889022657767e-06,0.15755555555555556,45,0.2104093732354602,23,0.37551207883787074,26,0.5105679066292789,13
adam,Midnight12k,FedProx,-0.10401245873983866,0.28634633469421994,0.8287407407407408,45,0.8071497584541063,23,0.8063869262964284,26,0.8787768347848439,13
adam,Midnight12k,SCAFFOLD,0.1554273962487552,0.10990935622612175,0.49340740740740746,45,0.4910835058661147,23,0.5899617124956491,26,0.666478045936137,13
adam,Phikon_v2,FedAvg,0.3567619358564494,0.00016198525446028535,0.7074920634920634,45,0.7405417529330574,23,0.8752662721893493,26,0.9238105056087511,13
adam,Phikon_v2,FedBN,0.4801501684995842,1.6631724908459537e-07,0.14537566137566138,45,0.16657820440429139,23,0.35572548366666007,26,0.5569314860153289,13
adam,Phikon_v2,FedProx,0.3046773924689309,0.0014187415439010297,0.8042222222222222,45,0.8336404416839199,23,0.8948011817242586,26,0.9395971231497549,13
adam,Phikon_v2,SCAFFOLD,0.2773503929842621,0.003825494335874348,0.3066772486772487,45,0.30485507246376814,23,0.5156374256713623,26,0.5870890101151696,13
adam,ResNet50,FedAvg,0.3637742798714997,0.00011737822737688169,0.13755555555555557,45,0.13228684359119144,23,0.3872898192807695,26,0.42229323160170595,13
adam,ResNet50,FedBN,0.47903761540065243,1.7925569042778487e-07,0.13777777777777778,45,0.1516497270845097,23,0.28967875094571927,26,0.46938145228235395,13
adam,ResNet50,FedProx,0.38059516242120417,5.255829512308001e-05,0.13340740740740742,45,0.13805759457933373,23,0.3812512613078224,26,0.41295376495784775,13
adam,ResNet50,SCAFFOLD,0.24546827949127892,0.010820682713994494,0.14733333333333334,45,0.14700922266139657,23,0.3337295267159521,26,0.36231458711475223,13
