cancer,clients,slides,patients,median_slides_per_client,min_slides,max_slides,slides_per_patient,train,val,test
BRCA,20,1529,1055,74.0,10,235,1.4492890995260663,1039,144,346
COAD,12,825,426,34.5,14,370,1.9366197183098592,563,72,190
STAD,10,590,400,44.0,11,231,1.475,403,56,131
LGG,15,801,463,26.0,14,294,1.7300215982721383,544,57,200
LUAD,15,447,387,21.0,11,91,1.1550387596899225,293,34,120
HNSC,13,427,411,21.0,13,135,1.0389294403892944,292,39,96
SKCM,8,246,243,21.0,10,87,1.0123456790123457,170,21,55
CESC,8,207,198,15.5,11,62,1.0454545454545454,140,17,50
PAAD,6,136,124,17.0,14,39,1.096774193548387,85,10,41
Total,107,5208,3707,26.0,10,370,1.4049096304289184,3529,450,1229
