fm,algorithm,optimizer,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,sgd,0.03,5,0.9524444699287414,0.9332790886899918,0.0044566522172917716,0.9267756252370098,0.00504712839395,0.9219030196582008,0.00518064193018361,0.9253535191291569,0.006588379827575327,,221.8,171.8,6908.2,3279881,42d5d0d38fd4;8e2103f9d395;ad61f7d021dd;b980340dcdba;f5aa98dbef0a
CTransPath,FedProx,adam,0.0003,5,0.9533333539962768,0.9251423921887714,0.009915425229417376,0.9072493517799177,0.013559833572129091,0.9095835265248438,0.013822502957848273,0.8951598750716568,0.016449786745476543,,231.2,181.2,7160.8,3279881,4342ad050e09;510a6b6188c8;57bbdd00ed23;59c0b41e351c;6a708701965e
CTransPath,SCAFFOLD,adam,0.0003,5,0.7226666808128357,0.7056143205858422,0.04068104142391749,0.5396460275103722,0.0625885933120465,0.49692774385223026,0.06843238878101598,0.6372045674397186,0.056619354102110296,,143.2,67.8,4424.2,3279881,8ecfff047acb;9ccd75e06dc3;b7a08ca98036;b9de4ae958b0;f00531679be7
Conch_v15,FedAvg,sgd,0.03,5,0.9737777948379517,0.9365337672904801,0.002933727644803889,0.9335363515337496,0.002282836771956113,0.9289168242773347,0.003623100057667458,0.9376435103905134,0.0031533730978392316,,202.2,152.2,6267.0,3279881,0edc69f7c53c;5e88f1430b76;8437bed14f22;85e0ac071298;9d1b54976670
Conch_v15,FedProx,adam,0.0003,5,0.9702222466468811,0.9314890154597233,0.005736226763877795,0.9197900355150213,0.008050950942936855,0.9208365133325269,0.007349234359872074,0.9137008803717427,0.007554855904378758,,174.2,124.2,5416.0,3279881,24b87c2bc7b5;3627a5b81fa8;749bdc078e78;860ec9a42fc5;f4cdff9f77ee
Conch_v15,SCAFFOLD,adam,0.0003,5,0.763111126422882,0.7500406834825061,0.0366530858374264,0.605573851120593,0.03998503449483025,0.5731484361817142,0.060555482351140597,0.6989349486590657,0.03935848980886802,,146.6,87.0,4531.0,3279881,0c94984dfee8;5857fce112f8;a0ca8793eb13;d0f6ed55f192;d98c3a9e0895
Midnight12k,FedAvg,sgd,0.03,5,0.9657778024673462,0.9366965012205044,0.00880870210104113,0.9295060212426896,0.006775853798599969,0.9292859859471306,0.008304025669495339,0.9300647304415154,0.007369328548366438,,262.6,212.6,8138.8,6425609,40f5aedd2eb0;4f75923428fb;65492840f675;84c64f65920f;e34b25a61c88
Midnight12k,FedProx,adam,0.0003,5,0.9306666851043701,0.911147274206672,0.006645245561951313,0.9014171006164078,0.006456663672791894,0.906347904090115,0.0049960084278367995,0.8942493206786534,0.007702575479868615,,151.8,101.8,4703.4,6425609,1726797743a4;33381654ca83;814a9f7817c9;cd0d3e476f50;d788cd2a48fc
Midnight12k,SCAFFOLD,adam,0.0003,5,0.7662222504615783,0.7573637103336045,0.04970183021987587,0.6574861739535708,0.0937036240522593,0.6480868565561229,0.10439834414737674,0.7414058631057929,0.07157137514345746,,155.2,89.4,4803.4,6425609,1b5a374f844f;1cf04da36ea4;994ec4a1182e;bc067bbfc4d9;db776024545c
Phikon_v2,FedAvg,sgd,0.03,5,0.9840000033378601,0.9583401139137511,0.005619624621588947,0.9575220744469324,0.006106466144877881,0.9565012192593629,0.006142726768411446,0.9603081757287365,0.0035968898220505793,,160.8,110.8,4975.4,4328457,120079dd61f9;28cf8f1e85a8;d3a1328cef04;e95e590494bd;f9383f8eb244
Phikon_v2,FedProx,adam,0.0003,5,0.9831111311912537,0.9588283157038242,0.004935964487584414,0.958276383107458,0.004467188441198481,0.9587055819202724,0.0036997642639884348,0.9541148092705726,0.002892425939803226,,177.2,127.2,5490.0,4328457,06d2eaad4823;255e0a35a172;532837b0152d;dbbbbf48e817;ed7a190923ec
