setting,fm,head,n_params,bytes_per_round_total,best_round,rounds_run,GB_to_best,GB_to_stop,seconds,encoder_params_M,tile_dim,slide_dim,sec_per_ktile,cache_MB,cache_float32_MB,head_MB,MB_per_round
FedAvg-adam-mlp,UNI_v2,mlp,6425609,1028097440,203.6,253.6,209.320638784,260.725510784,9.041427898406983,682.0,1536,12288,5.553899354158388,511.967232,255.983616,25.702436,1028.09744
FedAvg-adam-mlp,Virchow2,mlp,10619913,1699186080,157.2,207.2,267.112051776,352.071355776,21.108117008209227,632.0,2560,20480,5.489586553827663,853.27872,426.63936,42.479652,1699.18608
FedAvg-adam-mlp,Phikon_v2,mlp,4328457,692553120,224.4,274.4,155.408920128,190.036576128,9.537689018249512,307.0,1024,8192,6.394676938791028,341.311488,170.655744,17.313828,692.55312
FedAvg-adam-mlp,Conch_v15,mlp,3279881,524780960,140.4,190.4,73.679246784,99.918294784,6.003003740310669,304.0,768,6144,8.861176216059494,255.983616,127.991808,13.119524,524.78096
FedAvg-adam-mlp,CTransPath,mlp,3279881,524780960,46.0,108.2,24.13992416,56.781299872,3.401919889450073,28.0,768,6144,1.182455206614427,255.983616,127.991808,13.119524,524.78096
FedAvg-adam-mlp,Midnight12k,mlp,6425609,1028097440,148.6,198.6,152.775279584,204.180151584,11.34491138458252,1136.0,1536,12288,27.492029262471707,511.967232,255.983616,25.702436,1028.09744
FedAvg-adam-mlp,ResNet50,mlp,4328457,692553120,52.6,110.6,36.428294112,76.596375072,3.856442356109619,25.6,1024,8192,0.1494664393840557,341.311488,170.655744,17.313828,692.55312
SCAFFOLD-adam-mlp,UNI_v2,mlp,6425609,2056194880,64.6,118.4,132.83018924799998,243.453473792,59.38775577545166,682.0,1536,12288,5.553899354158388,511.967232,255.983616,25.702436,2056.19488
SCAFFOLD-adam-mlp,Virchow2,mlp,10619913,3398372160,57.0,118.0,193.70721312,401.00791488,112.0995596408844,632.0,2560,20480,5.489586553827663,853.27872,426.63936,42.479652,3398.37216
SCAFFOLD-adam-mlp,Phikon_v2,mlp,4328457,1385106240,97.2,154.2,134.632326528,213.583382208,8.45545744895935,307.0,1024,8192,6.394676938791028,341.311488,170.655744,17.313828,1385.10624
SCAFFOLD-adam-mlp,Conch_v15,mlp,3279881,1049561920,62.0,113.0,65.07283904,118.60049696,5.065822505950928,304.0,768,6144,8.861176216059494,255.983616,127.991808,13.119524,1049.56192
SCAFFOLD-adam-mlp,CTransPath,mlp,3279881,1049561920,42.6,113.6,44.711337792,119.230234112,5.05392746925354,28.0,768,6144,1.182455206614427,255.983616,127.991808,13.119524,1049.56192
SCAFFOLD-adam-mlp,Midnight12k,mlp,6425609,2056194880,96.0,150.0,197.39470848,308.429232,13.216197395324707,1136.0,1536,12288,27.492029262471707,511.967232,255.983616,25.702436,2056.19488
SCAFFOLD-adam-mlp,ResNet50,mlp,4328457,1385106240,33.0,112.2,45.70850592,155.408920128,6.20387020111084,25.6,1024,8192,0.1494664393840557,341.311488,170.655744,17.313828,1385.10624
FedAvg-sgd-mlp,UNI_v2,mlp,6425609,1028097440,300.0,350.0,308.429232,359.834104,10.053331327438354,682.0,1536,12288,5.553899354158388,511.967232,255.983616,25.702436,1028.09744
FedAvg-sgd-mlp,Virchow2,mlp,10619913,1699186080,226.0,277.0,384.01605408,470.67454416,15.860173320770263,632.0,2560,20480,5.489586553827663,853.27872,426.63936,42.479652,1699.18608
FedAvg-sgd-mlp,Phikon_v2,mlp,4328457,692553120,293.2,343.2,203.056574784,237.684230784,8.287389469146728,307.0,1024,8192,6.394676938791028,341.311488,170.655744,17.313828,692.55312
FedAvg-sgd-mlp,Conch_v15,mlp,3279881,524780960,229.2,279.2,120.279796032,146.518844032,6.576604557037354,304.0,768,6144,8.861176216059494,255.983616,127.991808,13.119524,524.78096
FedAvg-sgd-mlp,CTransPath,mlp,3279881,524780960,178.0,228.2,93.41101088,119.755015072,5.341249275207519,28.0,768,6144,1.182455206614427,255.983616,127.991808,13.119524,524.78096
FedAvg-sgd-mlp,Midnight12k,mlp,6425609,1028097440,299.2,349.2,307.606754048,359.011626048,11.3504243850708,1136.0,1536,12288,27.492029262471707,511.967232,255.983616,25.702436,1028.09744
FedAvg-sgd-mlp,ResNet50,mlp,4328457,692553120,126.2,176.2,87.400203744,122.02785974399998,4.2625813484191895,25.6,1024,8192,0.1494664393840557,341.311488,170.655744,17.313828,692.55312
FedAvg-adam-linear,UNI_v2,linear,110601,17696160,88.0,145.6,1.55726208,2.576560896,3.294123077392578,682.0,1536,12288,5.553899354158388,511.967232,255.983616,0.442404,17.69616
FedAvg-adam-linear,Virchow2,linear,184329,29492640,184.6,234.6,5.444341344,6.918973344,5.611267471313477,632.0,2560,20480,5.489586553827663,853.27872,426.63936,0.737316,29.49264
FedAvg-adam-linear,Phikon_v2,linear,73737,11797920,90.6,144.8,1.068891552,1.708338816,3.161882209777832,307.0,1024,8192,6.394676938791028,341.311488,170.655744,0.294948,11.79792
FedAvg-adam-linear,Conch_v15,linear,55305,8848800,76.0,128.8,0.6725088,1.13972544,2.140898990631104,304.0,768,6144,8.861176216059494,255.983616,127.991808,0.22122,8.8488
FedAvg-adam-linear,CTransPath,linear,55305,8848800,80.0,134.8,0.707904,1.19281824,1.634371566772461,28.0,768,6144,1.182455206614427,255.983616,127.991808,0.22122,8.8488
FedAvg-adam-linear,Midnight12k,linear,110601,17696160,119.2,172.0,2.109382272,3.04373952,2.321948432922363,1136.0,1536,12288,27.492029262471707,511.967232,255.983616,0.442404,17.69616
FedAvg-adam-linear,ResNet50,linear,73737,11797920,34.0,111.8,0.40112928,1.319007456,1.3079493045806885,25.6,1024,8192,0.1494664393840557,341.311488,170.655744,0.294948,11.79792
