cohort,fm,batch,slides_done,slides_total,elapsed_s,sec_per_slide
pda,conch_v15,128,170,170,4188,24.63529411764706
pda,virchow2,64,170,170,2514,14.788235294117648
pda,ctranspath,128,170,170,534,3.1411764705882352
pda,midnight12k,128,170,170,13853,81.48823529411764
pda,phikon_v2,128,170,170,2951,17.358823529411765
pda,uni_v2,64,170,170,2563,15.076470588235294
pda,resnet50,128,244,244,99,0.4057377049180328
luad,conch_v15,128,244,244,17237,70.64344262295081
luad,virchow2,64,244,244,10759,44.09426229508197
luad,ctranspath,128,244,244,2325,9.528688524590164
luad,midnight12k,128,119,244,25065,210.63025210084032
