fm,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,optimizer,rank_all,rank_no_known_tcga,vs_best_diff,vs_best_lo,vs_best_hi,vs_best_lo_pat,vs_best_hi_pat,vs_best_seed_diff_mean,vs_best_seed_diff_sd,vs_best_seed_t_lo,vs_best_seed_t_hi
Virchow2,5,0.9115555644035339,0.8854353132628153,0.013162851400320957,0.8722913124126374,0.012957950021732653,0.8663349310655537,0.016401025400183303,0.8729846539245569,0.014201624854084653,,207.2,157.2,6433.6,10619913,0eb036fbf6f4;40e1aa913b7b;8ff3d0bb92a5;9548ae04f543;db6dbe22658a,adam,1,1,0.0,-0.015386831275720112,0.015635842352418876,0.0,0.0,0.0,0.0,0.0,0.0
Conch_v15,5,0.9075555682182312,0.8704637917005696,0.025154107355670023,0.814030426522028,0.055291105121106805,0.8213475347660685,0.056833579768637746,0.835765340764518,0.03411749580129759,,190.4,140.4,5907.4,3279881,48190d037628;d2f6dc6d9c3c;d4b7e81ed792;e19c6698855b;e9ec436f1537,adam,2,2,-0.014808787632221376,-0.042333514898424546,0.012346548477305012,-0.028930046395557137,-0.0003349388136695834,-0.014808787632221354,0.02209978297547485,-0.04224929252098494,0.012631717256542227
Phikon_v2,5,0.8795555830001831,0.8484947111472743,0.08263335091753136,0.759087894556058,0.1564583868899773,0.7678288391423181,0.15967561484259435,0.7816454469573834,0.13428811271335594,,274.4,224.4,8483.0,4328457,2c623ed62b3e;3b37663a7e81;662ac1205a75;dddf2cc47b23;f55bec47e7d6,adam,3,,-0.036940602115541066,-0.10138871891070213,0.034753729411690304,-0.057047663882317044,-0.016468217914155613,-0.03694060211554111,0.08447011845334339,-0.14182410712306504,0.0679429028919828
UNI_v2,5,0.8568889141082764,0.8359641985353946,0.0652804477804268,0.7498440305559819,0.10354115289861722,0.7565240555014816,0.10556023182869922,0.788440931400433,0.08806597297692886,,253.6,203.6,7812.4,6425609,11e125f45a47;2a7f83531c92;5d90f00fc564;62e4c3d52ab4;dfbb2265cba3,adam,4,3,-0.04947111472742072,-0.10822929623035721,0.0034240508761769345,-0.06576273046251976,-0.034188162999538696,-0.0494711147274207,0.06695220779500863,-0.13260326074674034,0.03366103129189894
Midnight12k,5,0.856000030040741,0.8286411716842961,0.014888153635778941,0.7820053068851116,0.02929723289604378,0.7939558336980639,0.03120487150511158,0.8165688587629518,0.02197078755962269,,198.6,148.6,6169.8,6425609,98682d75851d;bf0bc8796eaf;e39eebe634b2;e6bfe1e480c3;e85ffbca4a02,adam,5,,-0.05679414157851914,-0.08402308008635768,-0.029703733766233652,-0.0779706889194266,-0.03627156037959686,-0.05679414157851914,0.025160686517071373,-0.08803526019685752,-0.02555302296018076
CTransPath,5,0.639555561542511,0.6065093572009764,0.03647291791514773,0.3698207059466706,0.042547608400465814,0.31420644393488045,0.034946979829995145,0.45622778016068255,0.05743507580542906,,108.2,46.0,3342.2,3279881,12daaeca7427;32a772496af8;50f762435343;7738a2a860f9;f50b74fada36,adam,6,,-0.2787632221318145,-0.3232280602925504,-0.23448663000027611,-0.31102220888355336,-0.24628854670359757,-0.27876322213181454,0.04277225384627901,-0.3318719898547717,-0.22565445440885742
ResNet50,5,0.36622223258018494,0.3358828315703824,0.05357691825096974,0.15167900483385727,0.03805971213791256,0.08870491263010018,0.03154403494736935,0.23258632944130478,0.049937091938936945,,110.6,52.6,3406.8,4328457,067a3419309c;091928446a9e;18e6cd33ace3;4bfc9890faa7;6d80ac1e6e47,adam,7,4,-0.5510170870626525,-0.6057676724228099,-0.4931971338126204,-0.5841194944168735,-0.5176846442542037,-0.5510170870626526,0.05159397062563825,-0.6150794629128902,-0.48695471121241507
Phikon_v2,5,0.963111138343811,0.9318144833197721,0.03800542845547244,0.9218634417738271,0.058105302210666045,0.9264333965887375,0.049562059375264554,0.915957395825407,0.05432776554872301,,295.2,245.2,9155.0,4328457,03db9ffd37d3;1f9a66b0f97f;779ecd016a02;c79f385f4bdd;d0b14c38a3a8,adam_sel,1,,0.0,-0.04119030315614626,0.041217781994293975,0.0,0.0,0.0,0.0,0.0,0.0
Virchow2,5,0.9235555768013001,0.8917819365337672,0.030634419197748886,0.8628017245246618,0.05383580185080567,0.8632192238317723,0.05419449136440973,0.876051034744345,0.033081244569435425,,267.6,217.6,8301.6,10619913,1e1ff6af722f;47c47c38ce01;53a6b2491415;59a165fee2d9;f5d853df2298,adam_sel,2,1,-0.040032546786004874,-0.08108311511116702,0.005010405454606774,-0.05503799708404403,-0.025097195001906786,-0.040032546786004854,0.020041725732199166,-0.06491763608955053,-0.015147457482459176
Conch_v15,5,0.9253333568572998,0.8904800650935719,0.011994384873256853,0.8577762822257207,0.015072316284682792,0.8659387703955079,0.016094042851329638,0.866090604042015,0.01619894164855387,,216.4,166.4,6729.8,3279881,0b21fd98af8b;186a3605e0a6;36677079b903;b982f67a3338;d188ba86f420,adam_sel,3,2,-0.0413344182262001,-0.07102778859888328,-0.0025308743221467028,-0.056440955771673046,-0.026175289065123376,-0.04133441822620014,0.03037615268684625,-0.07905139342139766,-0.003617443031002615
