fm,algorithm,legacy_drop_last,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,False,5,0.639555561542511,0.6066720911310008,0.03606218404043591,0.36981670590159965,0.04226509220519521,0.31394139196008575,0.03455587246750706,0.4558922901055663,0.056456595381615696,0.4558922901055663,108.2,46.0,3342.2,3279881,12daaeca7427;32a772496af8;50f762435343;7738a2a860f9;f50b74fada36
CTransPath,FedAvg,True,5,0.6217777848243713,0.582912937347437,0.01253421056462702,0.3415816756219337,0.012131905352713078,0.29436696327349055,0.016552153063508983,0.41360241510158646,0.010659590660315205,0.41360241510158646,183.8,133.8,2049.4,3279881,0887056b97a8;3a886a7dff57;57c85481ba2d;b61e8d887a6c;c7b097ef1002
CTransPath,SCAFFOLD,False,5,0.3742222338914871,0.36989422294548413,0.11414396126793397,0.21825132677551293,0.057109945524114546,0.1483286097544089,0.053781559133357325,0.2914946890725767,0.09396731990506857,0.2914946890725767,113.6,42.6,3514.4,3279881,0c2de4b117ea;1704e4e2c0b4;a39c4b54a6e8;c579fee87e49;dfeaaba2a152
CTransPath,SCAFFOLD,True,5,0.3186666786670685,0.30935720097640357,0.04361071974938139,0.19662075108641155,0.03288333451810332,0.11968756530427552,0.011723510833083211,0.232418253138847,0.012088148295628832,0.232418253138847,100.0,11.2,1125.6,3279881,44151f9d7ac1;70d243f91b85;7fd7b70a8fe6;984711d8327f;e5077cd86a18
Conch_v15,FedAvg,False,5,0.9075555682182312,0.8706265256305941,0.025012898533668667,0.8141473855863556,0.055211233293344764,0.8214675676994894,0.05677250391506909,0.8359091222167108,0.03402799624017099,0.8359091222167108,190.4,140.4,5907.4,3279881,48190d037628;d2f6dc6d9c3c;d4b7e81ed792;e19c6698855b;e9ec436f1537
Conch_v15,FedAvg,True,5,0.6591111302375794,0.6079739625711962,0.015739828959808574,0.36374724187839463,0.0071995893111986625,0.3050171373983375,0.009622431010662263,0.43960581626935574,0.009540107775983355,0.43960581626935574,162.0,112.0,1839.0,3279881,4d0568ce1d15;5bf96f838732;9d4195f770ec;b1f8a13faeac;fef3c39ad675
Conch_v15,SCAFFOLD,False,5,0.658222234249115,0.663140764849471,0.06539545539112296,0.45039073636696825,0.06283951176842403,0.38712012988614986,0.05718534238785553,0.5906700287517213,0.06649132148157175,0.5906700287517213,113.0,62.0,3500.8,3279881,199825691cd4;4ede3d457bf2;9d43e6a71f7e;d86ab20c44a8;e2ea4c497fc5
Conch_v15,SCAFFOLD,True,5,0.4533333480358124,0.4297803091944671,0.09390819432507497,0.22721728592318727,0.07948244191741928,0.16114083188074585,0.07790581411025803,0.31279666748152657,0.08359666418657932,0.31279666748152657,130.4,65.4,1487.8,3279881,322c17c91abc;3f206a47d59f;565a3a2dd73f;82546c8eda97;fa7e186283a3
Midnight12k,FedAvg,False,5,0.856000030040741,0.8286411716842961,0.014888153635778941,0.7820053068851116,0.02929723289604378,0.7939558336980639,0.03120487150511158,0.8165688587629518,0.02197078755962269,0.8165688587629518,198.6,148.6,6169.8,6425609,98682d75851d;bf0bc8796eaf;e39eebe634b2;e6bfe1e480c3;e85ffbca4a02
Midnight12k,FedAvg,True,5,0.5986666917800904,0.5770545158665582,0.018288571647956116,0.35567598877227136,0.04049687889723311,0.29658364608512927,0.03463403368173356,0.4351280175482598,0.0273200558242243,0.4351280175482598,180.4,130.4,2051.4,6425609,3ba878663351;56fe6c2b8232;e22bbb1aa81c;e9370e30281d;f21cc8a4524d
