fm,kind,optimizer,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,central,adam,0.0001,5,0.9688889265060425,0.9480878763222131,0.005316943613573494,0.9408562547435377,0.005834921844898552,0.938086874973675,0.006546334897044495,0.9349322999929124,0.005316289667859758,,,66.2,,55305,3444d2b722b3;4aebdaac18cf;9a6d1cfab075;f60108945834;fa9e7f8015b2
CTransPath,fl,adam,0.0003,5,0.9226666808128356,0.879414157851912,0.00804258017454945,0.8263375528124473,0.01310012171466944,0.8323164918288967,0.011924636553737154,0.8396588771993276,0.01245487602088467,0.8396588771993276,160.6,110.2,4957.8,55305,0455f9987dfe;9ce8ba1d00c4;b750fab6054c;c7e355c949d5;cea13728899b
CTransPath,fl,sgd,0.03,5,0.965333354473114,0.9436940602115541,0.005590094072357259,0.9364637251991546,0.005554139078100231,0.9328964882505316,0.005523427150162037,0.9336536777580223,0.0028483723995160475,0.9336536777580223,202.4,152.4,6301.6,55305,0cb727177d62;26c2a15167af;493b838a3ce3;741b39930bdb;e6547e39b624
Conch_v15,central,adam,0.0001,5,0.9786666750907898,0.9518307567127746,0.0027831784176545254,0.9471002631881891,0.00181283905477128,0.9452167103639436,0.0037144969468317105,0.9445487457459045,0.003125201893170242,,,86.6,,55305,06611fad9498;2ea7d48015ab;bb6ac7ff29c8;bbbcef32c993;d8a30a865787
Conch_v15,fl,adam,0.0003,5,0.9488889217376709,0.9127746135069164,0.008864892563036492,0.8925971298812312,0.014889627953557721,0.8944561120620509,0.012160761523035832,0.8940991316972433,0.007401764211051847,0.8940991316972433,134.2,82.4,4147.8,55305,73fe61b4077d;8ff622127912;b7e118809857;ea17946f606d;f64eb0d96cc9
Conch_v15,fl,sgd,0.03,5,0.9737778067588806,0.9393002441008951,0.007689070564639529,0.9338754671746143,0.010347790993998436,0.9300948963663215,0.008050551112323601,0.9401142724548608,0.006288993388880919,0.9401142724548608,138.0,87.2,4264.4,55305,178d7a4e164c;2b564f33d77b;2bd1a40da33b;5eff22b2f70c;be570172ef1d
Midnight12k,central,adam,0.0001,5,0.9826666951179505,0.9545972335231896,0.0006807648710611259,0.9459940805935849,0.00244857500726709,0.9473647444044442,0.0013325780366521052,0.9433587716826846,0.0018820980002467104,,,24.8,,110601,37679503cd02;7d2d7cefcd18;89beac362aad;997e32cfd0fc;c383929d3482
Midnight12k,fl,adam,0.0003,5,0.9248889088630676,0.903173311635476,0.006928147423078254,0.8940060520497758,0.00755510754891475,0.892470202363624,0.006477746734467196,0.89054872110455,0.004072360337945831,0.89054872110455,147.2,97.2,4557.2,110601,4219f9f6d30a;b68101b8d956;ca7d3a9e1f01;cdd033a55af3;e58759c24268
Midnight12k,fl,sgd,0.01,5,0.9720000267028809,0.9435313262815297,0.0029673852772677846,0.9361743182732226,0.0027807390480412333,0.936660934504612,0.002260198970000604,0.9370268189793969,0.0019234552316733354,0.9370268189793969,191.8,141.8,5933.0,110601,00015d2dee7f;69786f9d9067;88d3a4299223;c4f059f71158;f9d2994c509b
Phikon_v2,central,adam,0.0001,5,0.9897778034210205,0.9702196908055329,0.0014781043225862234,0.9673599240101108,0.0011106461230606106,0.9668201248000331,0.0018180205910810518,0.9653247672484433,0.0024862995118370276,,,7.4,,73737,64b26c9bee10;893c8c4ba366;bce06978c45a;cfd2813737ce;f4f502926bed
Phikon_v2,fl,adam,0.0003,5,0.9693333625793457,0.9451586655817739,0.004935964487584476,0.9462398228844527,0.004877625919039041,0.9428977682409933,0.0040596765174738085,0.9342003266146568,0.00884078763886019,0.9342003266146568,193.4,143.4,5987.4,73737,18d9d7d95a45;3f7ee474248b;4b8d46a911e3;ba9d0b4e9231;f3513a5418fb
Phikon_v2,fl,sgd,0.03,5,0.9875555753707885,0.9659886086248983,0.002183304778681654,0.9623095005557853,0.002459946862234952,0.962707579437821,0.0027594405311644685,0.9635785966081917,0.001993518854243254,0.9635785966081917,142.4,92.4,4396.2,73737,3d39ecdf12d1;3f2356449dca;4fb6b941ca8f;65337256c0b4;e13196c6cbad
ResNet50,central,adam,0.0001,5,0.9617777943611145,0.9353946297803091,0.0017826608869167383,0.9266997075486811,0.0012532675028871945,0.9263657879733364,0.0020168735443492013,0.9243540441486905,0.002454723271700999,,,110.6,,73737,9b190ef69d71;c2a0820da485;c53854630cbd;ea5005990164;fa0a462531e7
ResNet50,fl,adam,0.0003,5,0.8786666870117188,0.8192026037428803,0.015062781258746421,0.7348203054114466,0.024412584977554108,0.737689806948658,0.02700443812888015,0.7561986952093607,0.018668954014304268,0.7561986952093607,133.6,81.8,4129.4,73737,16da95a851a8;43d23d5d8afb;4da8ee74d460;a2c4093f9e2b;ebda5a1f47a2
ResNet50,fl,sgd,0.03,5,0.9426667094230652,0.9065907241659886,0.008808702101041095,0.8999421285740485,0.011361020839219972,0.8915121374300066,0.011996968359944366,0.8979568626541357,0.012762934730617145,0.8979568626541357,197.0,147.0,6116.4,73737,089f8bf3c473;3a82e3ad1688;3d20784449a1;3f5b20ccf0f8;b8ee01f62635
UNI_v2,central,adam,0.0001,5,0.9862222313880921,0.9749389747762407,0.0006807648710610546,0.9702072180179749,0.001441693682225099,0.970042779425949,0.0011981745491299392,0.9722310606144022,0.0012395987940096575,,,258.4,,110601,279405802f70;50f09acfdac3;8e2af84ffadc;9c75f4cec628;ef5b5d2692c5
