fm,arch,kind,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,linear,fl,5,0.5853333592414856,0.551993490642799,0.03375797610907002,0.30942491006672135,0.027238997871853795,0.25786258176407006,0.03181904287737531,0.3900891074623156,0.03228145503964779,0.3900891074623156,134.8,80.0,4166.4,55305,5563a692faa5;82f799fdd8d9;b7230dce10a4;beb4c8853d43;ff18ac15b5ba
Conch_v15,linear,fl,5,0.6204444646835328,0.5946297803091944,0.017549630222350423,0.33990384254625294,0.020399333626518627,0.2814052617372263,0.028443509510542322,0.4382411893535747,0.01186795655107692,0.4382411893535747,128.8,76.0,3977.2,55305,15c9af5b8d16;28dd3f45b116;8b94f3bc93ba;d0d1409b2cce;e27b6f0fafc7
Midnight12k,linear,fl,5,0.6204444527626037,0.5995117982099268,0.0740403615048316,0.36597154639480295,0.10199831923805218,0.3219403534658613,0.1321685484565668,0.4617992434107392,0.09311400325121447,0.4617992434107392,172.0,119.2,5311.6,110601,17db9b004ed8;32e0661013a5;37b74efd839b;b60e414de845;f7b7b3c043a7
Phikon_v2,linear,fl,5,0.5528888940811157,0.5134255492270138,0.05572003585466105,0.2848458661914608,0.043579695979014114,0.2293521502553028,0.049284789936627715,0.35350422832420686,0.043241431296635595,0.35350422832420686,144.8,90.6,4486.8,73737,338f9515d443;89538393c88a;b008e1bfa119;ee7d263c8ae1;fc13b329a143
ResNet50,linear,fl,5,0.26177778244018557,0.2322213181448332,0.07087011272548159,0.11559059218299761,0.005800137392984728,0.05075725839426591,0.02099167356687177,0.16120055686498552,0.045044674472533026,0.16120055686498552,111.8,34.0,3454.4,73737,21f895971075;2bd50889cc2a;4e105c244be1;5051cdb6e18d;e2e16c22719e
UNI_v2,linear,fl,5,0.5697777986526489,0.556712774613507,0.031703894245755516,0.3097369104857778,0.028333750023894804,0.2574311348246354,0.028061371546725385,0.4011049763723274,0.03204493102475169,0.4011049763723274,145.6,88.0,4501.4,110601,1d4bb57fee1b;65ad32539ff6;b220a63fde48;d726e1b1a164;f373e92dd00a
Virchow2,linear,fl,5,0.8662222504615784,0.834174125305126,0.037417304633224686,0.7343221493403839,0.07088640789478072,0.7446046634382449,0.06290186508893804,0.7904920817463859,0.05636703552167215,0.7904920817463859,234.6,184.6,7297.4,184329,0f6011ec5a67;2bff92b0f1f9;4cbb7e7f0a68;4d730811f2c5;8b633f33d234
CTransPath,linear,central,5,0.9755555987358093,0.9461350691619203,0.0006807648710611181,0.9400881783862103,0.001341766364709437,0.9374585288250838,0.001462761395665233,0.9336698133135896,0.0011451845158480562,,,158.8,,55305,0611a323173c;27563809c2f2;4f406b2e0256;96252b6f6add;f29ff004bee4
Conch_v15,linear,central,5,0.9786666750907898,0.9505288852725794,0.00218330477868164,0.9389185709557666,0.005160710987759054,0.9415178002604438,0.0036890909775452825,0.9381138694024365,0.004691979795153542,,,140.0,,55305,4c9814709e03;6a78e5e12c36;6f16aae5d3d7;d261b72df5b9;df8e60e8a347
Midnight12k,linear,central,5,0.9875555753707885,0.9558991049633848,0.0014555365191210865,0.9439935763954976,0.0019895032905201332,0.94770773851982,0.0018767428906949339,0.9459400122913386,0.0019756503947084636,,,145.8,,110601,017c3546a57e;125dfb33e8ea;4112b5b91b0d;904f0c3218dc;d941b8f291df
