fm,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,selected
CTransPath,0.0001,5,0.6226666808128357,0.5949552481692433,0.009821501628645337,0.3437229066724674,0.008779030999473976,0.2883051786002667,0.015305845293180272,0.42862706721210897,0.007142537601852154,0.42862706721210897,138.8,88.8,4292.0,3279881,4166af77d9b1;94c510862a46;aa60543f652b;aae0d8bad9e3;f4154806036a,False
CTransPath,0.0003,5,0.639555561542511,0.6066720911310008,0.03606218404043591,0.36981670590159965,0.04226509220519521,0.31394139196008575,0.03455587246750706,0.4558922901055663,0.056456595381615696,0.4558922901055663,108.2,46.0,3342.2,3279881,12daaeca7427;32a772496af8;50f762435343;7738a2a860f9;f50b74fada36,False
CTransPath,0.001,5,0.7288889169692994,0.7010577705451586,0.08987017198967166,0.4942938807419116,0.1365103962305014,0.44527149864449705,0.15748604604176247,0.5894559263910601,0.12759504916936537,0.5894559263910601,187.2,127.8,5792.0,3279881,2a4d4dd08651;5d65d0ff9423;7e7d49b9fe39;91decd71d136;b2d74d7c2571,True
Conch_v15,0.0001,5,0.8426666855812073,0.8086248982912938,0.04639486979646666,0.6717950716517148,0.07616761028752579,0.6764742203887051,0.069738155159067,0.7447161285162368,0.06270518835796358,0.7447161285162368,178.4,128.4,5528.0,3279881,65dc0ca5e47d;6ed565f6ddba;7256a159b523;80820414d11a;83281392905c,False
Conch_v15,0.0003,5,0.9075555682182312,0.8706265256305941,0.025012898533668667,0.8141473855863556,0.055211233293344764,0.8214675676994894,0.05677250391506909,0.8359091222167108,0.03402799624017099,0.8359091222167108,190.4,140.4,5907.4,3279881,48190d037628;d2f6dc6d9c3c;d4b7e81ed792;e19c6698855b;e9ec436f1537,False
Conch_v15,0.001,5,0.9253333568572998,0.8904800650935719,0.011994384873256853,0.8577762822257207,0.015072316284682792,0.8659387703955079,0.016094042851329638,0.866090604042015,0.01619894164855387,0.866090604042015,216.4,166.4,6729.8,3279881,0b21fd98af8b;186a3605e0a6;36677079b903;b982f67a3338;d188ba86f420,True
Midnight12k,0.0001,5,0.8173333644866944,0.8021155410903174,0.00848326217671495,0.7129805687283428,0.018360155706647317,0.7150617449743568,0.031971137630156035,0.777527606091113,0.013673095506191037,0.777527606091113,223.6,173.6,6924.4,6425609,3a98fc04e0ce;46392c1f6112;68673db45916;81e4ba07bfc1;af83ed61595c,False
Midnight12k,0.0003,5,0.856000030040741,0.8286411716842961,0.014888153635778941,0.7820053068851116,0.02929723289604378,0.7939558336980639,0.03120487150511158,0.8165688587629518,0.02197078755962269,0.8165688587629518,198.6,148.6,6169.8,6425609,98682d75851d;bf0bc8796eaf;e39eebe634b2;e6bfe1e480c3;e85ffbca4a02,False
Midnight12k,0.001,5,0.8728888988494873,0.861513425549227,0.025545858095716124,0.8477547797727004,0.028156320391836853,0.8528780270824912,0.027665408862200237,0.8580861391817415,0.026559400698666472,0.8580861391817415,238.8,188.8,7382.4,6425609,030793e6a252;07bdbb0c4dfd;2716dff5dc01;9c1d06d9eaa3;edaf08d32ad7,True
Phikon_v2,0.0001,5,0.7231111407279969,0.6862489829129373,0.0552774607757955,0.47656821307526415,0.08944641319904542,0.4469454713255795,0.11224536335154045,0.5387898519484418,0.07988375957723799,0.5387898519484418,241.4,191.4,7477.6,4328457,008c7441f8cd;ae697482de6f;bd8bccc3762c;be46480c2ca6;e668cbd0ba8f,False
Phikon_v2,0.0003,5,0.8795555830001831,0.8484947111472743,0.08263335091753136,0.759087894556058,0.1564583868899773,0.7678551738701326,0.15964491833041322,0.7816454469573834,0.13428811271335594,0.7816454469573834,274.4,224.4,8483.0,4328457,2c623ed62b3e;3b37663a7e81;662ac1205a75;dddf2cc47b23;f55bec47e7d6,False
Phikon_v2,0.001,5,0.963111138343811,0.9318144833197721,0.03800542845547244,0.9218634417738271,0.058105302210666045,0.9264333965887375,0.049562059375264554,0.915957395825407,0.05432776554872301,0.915957395825407,295.2,245.2,9155.0,4328457,03db9ffd37d3;1f9a66b0f97f;779ecd016a02;c79f385f4bdd;d0b14c38a3a8,True
ResNet50,0.0001,5,0.3137777805328369,0.28641171684296174,0.09304873675714342,0.1331136463509448,0.04194601604026208,0.06743096208871498,0.03689593793456142,0.19987832925591065,0.07229285039435043,0.19987832925591065,100.0,16.4,3087.0,4328457,02cc9174f4cb;1e7381390e6c;622f152427d4;709ad51e2c08;a7c2aeab95d2,False
ResNet50,0.0003,5,0.36622223258018494,0.33441822620016276,0.05521874227546492,0.15014582699523377,0.03886126179678534,0.08728420926112254,0.03218368935796962,0.23170041789457557,0.05265702328137723,0.23170041789457557,110.6,52.6,3406.8,4328457,067a3419309c;091928446a9e;18e6cd33ace3;4bfc9890faa7;6d80ac1e6e47,True
ResNet50,0.001,5,0.32399999499320986,0.28755085435313266,0.013463712801870186,0.11522222222222223,0.009192723907499145,0.05433125385527978,0.01232724532321336,0.193934873920319,0.0156949299853125,0.193934873920319,100.0,11.8,3087.0,4328457,a47cc8836bbf;a51df97a7ca7;b0afaa4bb87d;c23467f16db6;ce9dede22788,False
UNI_v2,0.0001,5,0.7737778067588806,0.7599674532139951,0.02250499053855058,0.6106937193998664,0.05764766157378368,0.6021167576083476,0.06882019762270912,0.671438536853769,0.031104674317377037,0.671438536853769,147.8,97.8,4580.0,6425609,4971ae46bb22;574e0130f168;845943aa7c08;966a45afa878;f34335a35e22,False
UNI_v2,0.0003,5,0.8568889141082764,0.8359641985353946,0.0652804477804268,0.7498440305559819,0.10354115289861722,0.7565240555014816,0.10556023182869922,0.788440931400433,0.08806597297692886,0.788440931400433,253.6,203.6,7812.4,6425609,11e125f45a47;2a7f83531c92;5d90f00fc564;62e4c3d52ab4;dfbb2265cba3,False
