fm,algorithm,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,5,0.639555561542511,0.6065093572009764,0.03647291791514773,0.3698207059466706,0.042547608400465814,0.31420644393488045,0.034946979829995145,0.45622778016068255,0.05743507580542906,,108.2,46.0,3342.2,3279881,12daaeca7427;32a772496af8;50f762435343;7738a2a860f9;f50b74fada36
CTransPath,FedBN,5,0.2670618971399402,0.3358828315703824,0.09125151858925663,0.21626069611124699,0.03456011259448443,0.1634505082411146,0.033537574055075146,0.23485674992553535,0.03845570751044854,,137.0,83.8,4153.8,3281417,13dca61c2e7b;a57e83341258;ca6bc4d0257f;e5a69ce83519;fa6456e49b0d
CTransPath,FedProx,5,0.6417778015136719,0.6164361269324654,0.034490380580605884,0.3759027212563367,0.04400459929725947,0.32087687201380766,0.03969708146240124,0.4652907834529172,0.05769404511493151,,113.8,51.6,3506.6,3279881,3477df5ada8e;86d9a1f49249;b34a5a20b297;b56114aff14e;b8b9ed836ded
CTransPath,SCAFFOLD,5,0.3742222338914871,0.3695687550854353,0.11499746047464132,0.21817560761248012,0.05754818655052943,0.14815099799974504,0.054066883408261275,0.2913042753435501,0.09446718606350604,,113.6,42.6,3514.4,3279881,0c2de4b117ea;1704e4e2c0b4;a39c4b54a6e8;c579fee87e49;dfeaaba2a152
Conch_v15,FedAvg,5,0.9075555682182312,0.8704637917005696,0.025154107355670023,0.814030426522028,0.055291105121106805,0.8213475347660685,0.056833579768637746,0.835765340764518,0.03411749580129759,,190.4,140.4,5907.4,3279881,48190d037628;d2f6dc6d9c3c;d4b7e81ed792;e19c6698855b;e9ec436f1537
Conch_v15,FedBN,5,0.27334004622181673,0.3498779495524817,0.06589468383311205,0.21368504396906185,0.02748039037331514,0.16335504128610626,0.029247503129923007,0.22951604449538157,0.0396365835934358,,142.8,85.4,4340.4,3281417,1557c7a7906a;8b100caf83b6;c7689d50a4f8;c9aab31cf9a3;fa7f8c47e676
Conch_v15,FedProx,5,0.9106666803359985,0.8818551668022783,0.02307438589609306,0.8360635999616758,0.05050425744850227,0.846710812124428,0.047385223174345646,0.8499072855128537,0.03180518738240414,,226.4,176.4,7008.2,3279881,37d13a3ef0d4;4165e5420dbd;436e0bd160a2;4a8376235f13;6aa46c83e5d6
Conch_v15,SCAFFOLD,5,0.658222234249115,0.6631407648494712,0.06511391057361288,0.45043762140229254,0.06266092982159738,0.38707847313294624,0.057004793797233756,0.5909935370191548,0.06588395954600024,,113.0,62.0,3500.8,3279881,199825691cd4;4ede3d457bf2;9d43e6a71f7e;d86ab20c44a8;e2ea4c497fc5
Midnight12k,FedAvg,5,0.856000030040741,0.8286411716842961,0.014888153635778941,0.7820053068851116,0.02929723289604378,0.7939558336980639,0.03120487150511158,0.8165688587629518,0.02197078755962269,,198.6,148.6,6169.8,6425609,98682d75851d;bf0bc8796eaf;e39eebe634b2;e6bfe1e480c3;e85ffbca4a02
Midnight12k,FedBN,5,0.2934221862393091,0.3965825874694874,0.12816084804074596,0.2269742351682449,0.057927390122824926,0.1798935099486166,0.04789727215529848,0.2647491934806741,0.04874209371938571,,172.4,121.6,5252.8,6427145,475a3ae67c32;537b66a83da0;6f61b239bcd5;75b34035cf85;e93082905d72
Midnight12k,FedProx,5,0.856000018119812,0.8323840520748575,0.019595760095675045,0.7888635414448947,0.040227001002165946,0.7984411155120462,0.04578385164045379,0.824747072090541,0.02235901507615264,,200.4,150.4,6223.8,6425609,03bf2eb1ffc0;32806e51dfc2;7ac7250be8fd;81a0727a2df7;e0d237945e42
