fm,algorithm,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,0.001,5,0.7288889169692994,0.701220504475183,0.08976845216659436,0.4944635160260507,0.13642903139971904,0.4454391787872341,0.1574058619918036,0.5895597685509771,0.1275409195007345,,187.2,127.8,5792.0,3279881,2a4d4dd08651;5d65d0ff9423;7e7d49b9fe39;91decd71d136;b2d74d7c2571
CTransPath,FedBN,0.001,5,0.32088616040013823,0.45663140764849475,0.09683420938851937,0.274338907971705,0.036108309724195084,0.23605852783136339,0.03252412417643985,0.3058984284645662,0.04357715185505156,0.3058984284645662,157.0,96.4,4776.6,3281417,240467136a3d;2bdd87889b88;4cee0c25778b;7117710b713d;b3801572cd6f
CTransPath,FedProx,0.001,5,0.8302222490310669,0.8087876322213182,0.08875155558442392,0.6889837227262495,0.1673725896202591,0.6859831353766398,0.18339196737412702,0.7379184237995073,0.1302088832383621,0.7379184237995073,313.2,262.4,9688.8,3279881,0ca449c57e0f;334b8b7598a0;5cf32174760f;7710831e5020;b99f40d99703
CTransPath,SCAFFOLD,0.001,5,0.6075555682182312,0.617900732302685,0.0318455790215794,0.40191954895413284,0.031341183914079355,0.3268992665031743,0.030859937717029006,0.519150496766502,0.026287548574508636,0.519150496766502,126.4,71.2,3910.0,3279881,2e28420b68dd;54fce278a535;5dce7d0ee33f;a14015d42f16;f24e3644f579
Conch_v15,FedAvg,0.001,5,0.9253333568572998,0.8904800650935719,0.011994384873256853,0.8577762822257207,0.015072316284682792,0.8659387703955079,0.016094042851329638,0.866090604042015,0.01619894164855387,,216.4,166.4,6729.8,3279881,0b21fd98af8b;186a3605e0a6;36677079b903;b982f67a3338;d188ba86f420
Conch_v15,FedBN,0.001,5,0.2970908251135392,0.44263628966639545,0.03287567754407962,0.249451580672481,0.01496104197886217,0.19376907875662736,0.011378259953447002,0.2762330364220541,0.011956719736418682,0.2762330364220541,156.6,101.2,4752.2,3281417,507c9b21fed3;57309b796771;64a1148c40b8;7bd8ddfde1eb;dcf71c5c05ef
Conch_v15,FedProx,0.001,5,0.9311111450195313,0.8965012205044752,0.009230758535975124,0.8596614751885137,0.026950815181578505,0.8678721188008327,0.023690431847939678,0.870874922127712,0.015813988629714493,0.870874922127712,220.4,170.4,6851.2,3279881,2f625e906542;4b9372680915;83785a338b3c;aea1de079d4a;e55bfd997f74
Conch_v15,SCAFFOLD,0.001,5,0.6591111302375794,0.66346623270952,0.05113381310182921,0.4703961815042751,0.04630291844994546,0.3997047480126051,0.04906221675150639,0.5991760014176,0.04871806598831858,0.5991760014176,126.8,76.0,3924.4,3279881,2d8654ccddef;3d04a54622a2;c7148f3d4b3a;ecdcc3fc6dd2;fc468cbb457d
Midnight12k,FedAvg,0.001,5,0.8728888988494873,0.861513425549227,0.025545858095716124,0.8477547797727004,0.028156320391836853,0.8528780270824912,0.027665408862200237,0.8580861391817415,0.026559400698666472,,238.8,188.8,7382.4,6425609,030793e6a252;07bdbb0c4dfd;2716dff5dc01;9c1d06d9eaa3;edaf08d32ad7
Midnight12k,FedBN,0.0003,5,0.2934221862393091,0.3965825874694874,0.12816084804074596,0.2269742351682449,0.057927390122824926,0.1798935099486166,0.04789727215529848,0.2647491934806741,0.04874209371938571,,172.4,121.6,5252.8,6427145,475a3ae67c32;537b66a83da0;6f61b239bcd5;75b34035cf85;e93082905d72
Midnight12k,FedProx,0.001,5,0.8764444708824157,0.8598860862489829,0.018972640761220388,0.8439952445873512,0.021023943889450548,0.8503819768377461,0.01864488231861585,0.8556514504867587,0.019199215547712086,0.8556514504867587,197.2,147.2,6141.6,6425609,4c64af4c59ba;557feed093d9;7c94469a84f3;ecaf549a2066;fc700cc9809a
Midnight12k,SCAFFOLD,0.001,5,0.6417777895927429,0.6406834825061025,0.02800135075550945,0.4644549521172582,0.04809987066900283,0.3954679291875617,0.04634523459297183,0.5874313865306183,0.043302704698645,0.5874313865306183,106.2,46.6,3274.0,6425609,12c99ace03ad;3f3a4bc18866;48946f684917;8e299fbf9e13;95cd386b0cf9
Phikon_v2,FedAvg,0.001,5,0.963111138343811,0.9318144833197721,0.03800542845547244,0.9218634417738271,0.058105302210666045,0.9264333965887375,0.049562059375264554,0.915957395825407,0.05432776554872301,,295.2,245.2,9155.0,4328457,03db9ffd37d3;1f9a66b0f97f;779ecd016a02;c79f385f4bdd;d0b14c38a3a8
Phikon_v2,FedBN,0.001,5,0.31746536466833497,0.4782750203417413,0.03206725667763913,0.2686406609118658,0.02178913487598894,0.23618333988502888,0.020242774090629,0.2822765084453841,0.02296137919375179,0.2822765084453841,168.8,118.8,5140.2,4329993,11106474f2ff;56bd2bd5cb28;70435c3efc5f;ab7c9e7f96cf;ca2651d63fd6
Phikon_v2,FedProx,0.001,5,0.9751111268997192,0.9467860048820178,0.005384993362985908,0.9432296882546233,0.0070661860424624835,0.9455355060398558,0.006163661497984362,0.9409602489353268,0.011913474197798932,0.9409602489353268,301.6,251.6,9349.2,4328457,0ff8e8d0ba2f;77f636cb4e24;b05feedf56b9;d131e73e52a6;d39586f56275
Phikon_v2,SCAFFOLD,0.001,5,0.5368888974189758,0.5306753458096013,0.02258134854914129,0.3121653178083069,0.01798694632843599,0.252510507473869,0.03305127394584778,0.4312304235997745,0.02637191480618341,0.4312304235997745,109.8,42.8,3381.6,4328457,2e9bfef9790b;68c786bb61b9;73f493ce96d2;b6c3f5175d50;d0162b33197f
ResNet50,FedAvg,0.0003,5,0.36622223258018494,0.3358828315703824,0.05357691825096974,0.15167900483385727,0.03805971213791256,0.08870491263010018,0.03154403494736935,0.23258632944130478,0.049937091938936945,,110.6,52.6,3406.8,4328457,067a3419309c;091928446a9e;18e6cd33ace3;4bfc9890faa7;6d80ac1e6e47
