fm,algorithm,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,0.1,5,0.8595555782318115,0.8424735557363711,0.04793612360222527,0.7994174287784632,0.08642454152317265,0.7806846948140617,0.09006518450058713,0.8224974748455564,0.06009030374300137,,228.2,178.0,7055.8,3279881,515678dff49e;a6b60c9a7fb5;dfeb9da05975;f810e31364fd;ff7e5dab2ad7
CTransPath,FedBN,0.1,5,0.9998762376237623,0.9860048820179006,0.010378674546081948,0.9890811116332113,0.00853619854544739,0.9848124244309293,0.011083427503203723,0.9873899760766459,0.008935031622706889,,315.4,265.4,9611.0,3281417,116d802e6eaf;3ab077edcf20;9598d1445ef4;a954ba523540;d4c9151ba51f
CTransPath,FedProx,0.1,5,0.8648889064788818,0.8385679414157853,0.040161830575115805,0.8069734839073697,0.05896934178125094,0.7882458697499206,0.058526659417304935,0.8125522048848148,0.0484110429967268,,218.4,165.6,6796.4,3279881,7e8ffe3ea357;8363cef4bc39;a37621e7ee0b;ca483c3bd809;f80c0b273494
CTransPath,SCAFFOLD,0.03,5,0.8826666831970215,0.8652563059397884,0.01433306283890776,0.8260914625396261,0.02414566432101775,0.8249779833291961,0.02392660601529814,0.8503800008826164,0.02115153369101158,,406.0,356.0,12552.6,3279881,092159602086;0aa317f8e2f1;26e142f30d00;29dd769e6c47;b0f7fa025b2e
Conch_v15,FedAvg,0.03,5,0.953777813911438,0.9183075671277461,0.003927589385239076,0.9089713612749831,0.008484194768505014,0.9066426328865141,0.005639879748974753,0.9231851414699858,0.006870871982218934,,279.2,229.2,8662.0,3279881,0c2c8c4c6dd2;20e72e852dab;47e0b95494d2;6692ec28e1ef;d719dd7ec191
Conch_v15,FedBN,0.1,5,1.0,0.9866558177379984,0.00722289374163456,0.9862575884922059,0.008381939520540584,0.9848471817487761,0.009089832640354524,0.9826872280693062,0.010286249967727312,,337.8,287.8,10287.4,3281417,0825d594b18d;8b84fd012b7d;9845c5954c05;cdce07ff05ec;dac93a20afbf
Conch_v15,FedProx,0.03,5,0.9520000219345093,0.9145646867371846,0.009558454128942828,0.9065420914656542,0.010513901329959168,0.901789448337324,0.014014105522233804,0.9180636364846559,0.014643070454706704,,284.4,234.4,8827.2,3279881,81d71d57000c;9f7539557b7d;a92f4d472a0d;c56f83764c2e;e3f121dcd46d
Conch_v15,SCAFFOLD,0.01,5,0.9293333530426026,0.902359641985354,0.014395285608587556,0.8829293367652852,0.02114324508367023,0.8849675062746899,0.019108752893791877,0.9040980306427789,0.01924594717905543,,309.8,259.8,9601.6,3279881,3ec03b3bc34b;45047e7cb0be;8a2481a34d4b;c469db876fa9;e08e33ae2ee9
Midnight12k,FedAvg,0.03,5,0.9040000200271606,0.8846216436126932,0.006645245561951301,0.8875402035754718,0.006337798060288579,0.882964822544302,0.007922693171884569,0.8975778690705072,0.008099901676041658,,349.2,299.2,10823.4,6425609,3208a61d054e;a778509b44f2;bd9b8001bcb1;f1350014be06;f512c096be38
Midnight12k,FedBN,0.1,5,0.8836925719721294,0.8639544344995931,0.16990641975865692,0.8656154280410169,0.17369022980232587,0.8491777102039464,0.19011847958242112,0.8657065066165449,0.1491433602278884,,248.0,198.0,7548.0,6427145,29f003b32e35;40ece1a74774;4f57b32c0daa;b6acb32ab45d;ea972c63b498
Midnight12k,FedProx,0.03,5,0.9040000200271606,0.884947111472742,0.006212728777484472,0.887923093923489,0.005972779165671516,0.8837131470643582,0.006885599657208533,0.8977214930372224,0.007828705669698469,,351.4,301.4,10888.0,6425609,2c228277e725;56207ce42e15;c8c24eb46b06;dce52ed0eb03;f10ad82ce39b
Midnight12k,SCAFFOLD,0.01,5,0.8773333430290222,0.862652563059398,0.00439682866919653,0.8465464394019453,0.006416705381992694,0.8446726402159541,0.007984167578236894,0.8770530961996779,0.003763404179003178,,430.0,380.0,13277.0,6425609,04b3d57df3e3;34ec6bb5b2c4;40a0c40f9f53;8c5b676f1a83;9c29ac0be5d7
