fm,mu,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,selected
CTransPath,0.001,5,0.6408889055252075,0.6065093572009764,0.028845708014347275,0.366344523783044,0.03589246022557003,0.31380056739107964,0.031349738226872655,0.4522336103472765,0.048803001319869366,0.4522336103472765,108.2,46.0,3342.2,3279881,2e2375ae8615;31ae931c5102;9a12a3607b72;a51380b14187;e134e3ae349b,False
CTransPath,0.01,5,0.6417778015136719,0.6164361269324654,0.034943298668309766,0.3758500450365251,0.044387237700853406,0.32077617018267557,0.04007127316786305,0.46542429480138187,0.058192207277667954,0.46542429480138187,113.8,51.6,3506.6,3279881,3477df5ada8e;86d9a1f49249;b34a5a20b297;b56114aff14e;b8b9ed836ded,False
CTransPath,0.1,5,0.6924444675445557,0.6564686737184703,0.033347553519262885,0.43735863225881155,0.05027337140948772,0.3915469646686108,0.05267523464931188,0.521422373194205,0.05371618874052194,0.521422373194205,186.4,135.6,5793.2,3279881,438969d3e07e;61e3599b02c4;852e1b470468;9e8187e6a512;b19d12346d90,False
CTransPath,1.0,5,0.709333336353302,0.6738812042310822,0.06374051432742094,0.4695830677362208,0.08669372448968929,0.43106766562646043,0.10709575819779266,0.544499485122842,0.09063202440995619,0.544499485122842,170.6,112.2,5278.6,3279881,2572ecc4e508;59e11ed4ef2e;6cf241ca5b3e;b57d57853f56;cfbfc0dd9246,True
Conch_v15,0.001,5,0.9062222480773926,0.8774613506916191,0.014921467961693727,0.8257291109897309,0.02819845461134755,0.8378575503010754,0.025289134976897037,0.8413594741944388,0.019607565636402043,0.8413594741944388,202.6,152.6,6281.8,3279881,2d938290de03;3099a479c1a0;57c80055e703;74f0d6918bda;8b94ea13463e,False
Conch_v15,0.01,5,0.9106666803359985,0.8815296989422295,0.023488149799380343,0.8354495202330922,0.051015622668398576,0.8461677448453772,0.04779333790268251,0.8493635302027431,0.03234846276747369,0.8493635302027431,226.4,176.4,7008.2,3279881,37d13a3ef0d4;4165e5420dbd;436e0bd160a2;4a8376235f13;6aa46c83e5d6,False
Conch_v15,0.1,5,0.9182222485542297,0.8851098454027664,0.018279519243477364,0.8404654388749357,0.03572664071865889,0.8534118613424386,0.03018994901544348,0.8536518005758016,0.024364841766147817,0.8536518005758016,217.8,167.8,6740.6,3279881,162ac7e935e7;215da5925592;9f97a0020d16;a4a8d3c703e0;d609d0cbb48c,False
Conch_v15,1.0,5,0.9288889050483704,0.8969894222945485,0.014005994222141499,0.8756597115284634,0.020014666226139042,0.8773574291613417,0.0186260640721979,0.8748567747272405,0.014698594868966857,0.8748567747272405,247.8,197.8,7683.2,3279881,1bcdd1e2354a;4cc475ee305c;5e9496b7d749;8812552a61d4;ffc956ff8472,True
Midnight12k,0.001,5,0.8551111340522766,0.8336859235150529,0.02216857856834594,0.7846242709775725,0.038371630688876286,0.7893528652024865,0.051006696687851856,0.8212024317715507,0.02785075076689104,0.8212024317715507,215.8,165.8,6690.2,6425609,7e6f6663e76e;95425beb37f5;a05b4c32e6c9;a9f26150d52e;fa85780ed0c8,False
Midnight12k,0.01,5,0.856000018119812,0.8323840520748575,0.019595760095675045,0.7888635414448947,0.040227001002165946,0.7984411155120462,0.04578385164045379,0.824747072090541,0.02235901507615264,0.824747072090541,200.4,150.4,6223.8,6425609,03bf2eb1ffc0;32806e51dfc2;7ac7250be8fd;81a0727a2df7;e0d237945e42,False
Midnight12k,0.1,5,0.8631111264228821,0.8377542717656631,0.020757349092163837,0.7959292381235153,0.039349339377131594,0.8017997671762533,0.04426802510369663,0.8285893951042856,0.02443009883558247,0.8285893951042856,205.4,155.4,6367.8,6425609,21f50507ad9b;53a8cf44219a;8a4b90f99fb1;8f121dab4ce9;f4caf2791805,True
Midnight12k,1.0,5,0.8600000143051147,0.833360455655004,0.00628688161825283,0.8036290719670275,0.016836742597772777,0.8070699094477034,0.019217502018126092,0.8331494459656138,0.005672285306578638,0.8331494459656138,146.6,96.6,4539.8,6425609,220ebdfa1d98;35809e5b35d8;984cefd2832f;b8a0fc3a8af7;ba84bc7066ec,False
