fm,lr,mu,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,selected
Conch_v15,0.003,0.001,5,0.9044444680213928,0.8755085435313262,0.009436463388725136,0.8486181929531851,0.011145986791760638,0.8467940085697322,0.00929350010072583,0.8551579624422402,0.006824329023334446,,157.6,107.6,4874.0,3279881,21d35aa4ce95;23e938ed0f71;6033a237e336;67df77e5f91d;97b28a54dada,False
Conch_v15,0.003,0.01,5,0.9044444680213928,0.8753458096013018,0.009408357701911948,0.8483195617574971,0.011217180841910371,0.8465216854105206,0.009283372852824497,0.8547586517743181,0.006929168995181417,,157.6,107.6,4874.0,3279881,162baa704980;78fa4a8c938a;8409fb0b6886;93c610500aff;d345f8f952e5,False
Conch_v15,0.003,0.1,5,0.9044444680213928,0.8753458096013018,0.00886489256303659,0.8492349734540555,0.01118083596774928,0.8468846681983109,0.008758443621165228,0.8560737294950789,0.006806512717690092,,160.6,110.6,4969.0,3279881,17537f11f76c;2acddb5436b1;2d666cf994a9;7e8fdddff026;c7f3421fbb20,False
Conch_v15,0.003,1.0,5,0.9035555720329285,0.8716029292107403,0.006841602281392312,0.8454023207892462,0.008108227056533428,0.8429076268349094,0.004362306787949102,0.8492633690685519,0.0028325180092906277,,141.6,91.6,4379.4,3279881,1748ec6a2500;23067d0b6778;647cbb19102b;a7b0d8ea6d31;d3e81bfac45e,False
Conch_v15,0.01,0.001,5,0.9364444732666015,0.9051261187957689,0.02276530774823573,0.897262879156148,0.029316020040132115,0.8926342056114567,0.029106391176891337,0.9045850248052583,0.02879030112216679,,313.6,259.0,9694.4,3279881,09db1da004b0;2449dd98e09b;79ed7e24d284;af4265c2afe4;d6fd131f9037,False
Conch_v15,0.01,0.01,5,0.9355555891990661,0.9036615134255491,0.021601358510717796,0.8960543346710967,0.028555701121332985,0.8904568053351621,0.02729065029846951,0.9017426372977617,0.02556345563334319,,312.2,257.6,9648.4,3279881,199a4792184b;3a18bc538277;904bf7818e90;aa354a0fd28c;b902c605e879,False
Conch_v15,0.01,0.1,5,0.9315555810928344,0.8991049633848658,0.020688660919594964,0.8924402318039064,0.029512323809929103,0.8863322947098267,0.02781540144446405,0.8950383499301262,0.02564279099121322,,269.4,214.8,8345.0,3279881,1e727630c9e7;524fff233d22;5ef3021ab882;8ba9aefbaf4e;a69145851ee9,False
Conch_v15,0.01,1.0,5,0.9346666932106018,0.9043124491456469,0.021214788050327532,0.8958891587856614,0.02763340998945715,0.8912026907969601,0.027403146396390916,0.9021178029766658,0.026484247233122635,,284.8,230.2,8817.2,3279881,0555d078dd2a;8cba07bc2d75;ac883d81e0bf;c92c5196ca82;fc2eae212286,False
Conch_v15,0.03,0.001,5,0.9608889102935791,0.9236777868185516,0.004861633603348941,0.9153471189138296,0.006043066031928837,0.9131520601344751,0.006976921084850968,0.9285107914883242,0.004510993359335023,,347.2,297.2,10759.8,3279881,3897358cb4e7;5abd73397150;7580c3b9c45f;ac2e20b8174c;f383a3d88880,True
Conch_v15,0.03,0.01,5,0.9520000219345093,0.9145646867371846,0.009558454128942828,0.9065420914656542,0.010513901329959168,0.901789448337324,0.014014105522233804,0.9180636364846559,0.014643070454706704,,284.4,234.4,8827.2,3279881,81d71d57000c;9f7539557b7d;a92f4d472a0d;c56f83764c2e;e3f121dcd46d,False
Conch_v15,0.03,0.1,5,0.9551111340522767,0.9174938974776241,0.005596012648998992,0.9105755333072849,0.007093510437885406,0.9063530079217864,0.006361678710272877,0.921324111405364,0.004645773625349845,,296.6,246.6,9202.4,3279881,6a7fa0eff852;74351087c779;a4047a6d5eb0;b0519ec8d520;c52fddc766a5,False
