fm,algorithm,partition,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,n_clients,classes_per_client,majority_fraction
CTransPath,FedAvg,iid,5,0.9431111335754394,0.9101708706265257,0.006524595670213009,0.8959338800408544,0.008378492820265515,0.8914501428024846,0.009472402807444383,0.8832955344519515,0.011711184399300705,0.8832955344519515,274.6,224.6,8588.2,3279881,06c8cf01e9ce;3044e1f72998;a0faacffe68d;be74505c6146;e464c4fc6ff5,107,6.5607476635514015,0.38290676818747
CTransPath,FedAvg,institution,5,0.909333348274231,0.872579332790887,0.015815360430996666,0.7796316032158762,0.05761552134973013,0.7782184248473981,0.07104713935655205,0.8218553440953246,0.035086424635797635,0.8218553440953246,252.0,202.0,11936.8,3279881,0b0c49dbfe68;3ada918942b9;7d0fa4f87bcf;d7cd719a6754;e4f8dc9e4d0e,58,1.8275862068965518,0.8642132168727162
CTransPath,FedAvg,labelskew_0.1,5,0.904888904094696,0.8654190398698128,0.025560108176139337,0.8060078930910238,0.03770190879272211,0.80486450174156,0.04252765426011805,0.8134179467321655,0.033207833022920005,0.8134179467321655,253.2,203.2,7972.2,3279881,1744e3fec39f;576fb284d3d2;8944f815045b;8e559053c777;aa750ff3945c,107,2.953271028037383,0.6854836993221605
CTransPath,FedAvg,labelskew_1.0,5,0.9480000138282776,0.9126118795768917,0.007359101093308408,0.8952985809111358,0.011131896795018883,0.8926193135571312,0.01023990069617299,0.8849832159577691,0.015331930505967371,0.8849832159577691,320.2,270.2,10066.8,3279881,0ed538c68c4c;2637e5013285;3458a0537b94;bd7188d7c3ce;c4475ca465d1,107,5.457943925233645,0.43625714108044655
CTransPath,FedAvg,project_tss,5,0.6048888921737671,0.5786818551668023,0.005850505455572872,0.3286324438963682,0.00715332986329103,0.264586430873265,0.02965529724964747,0.4202266386088521,0.011714024068502544,0.4202266386088521,171.0,121.0,5443.0,3279881,03e978baf367;2ad7d8e266d8;2e8a84ec20e6;42d87d272e02;d48704620ec0,107,1.0,1.0
CTransPath,FedProx,iid,5,0.942222249507904,0.9090317331163547,0.006234005308178307,0.89586783193608,0.01094804512681297,0.8895331682395213,0.009481926589379602,0.8800622726750762,0.012861815295360063,0.8800622726750762,253.2,203.2,7921.4,3279881,45f2da905a54;59501b751b45;5a058ad0b128;640623db6320;67140a714164,107,6.5607476635514015,0.38290676818747
CTransPath,FedProx,institution,5,0.9160000324249268,0.8828315703824247,0.008857421097264923,0.8086716678538123,0.024725803429495787,0.8184156080686702,0.021586448339581978,0.8385992608567273,0.01888663939092203,0.8385992608567273,255.8,205.8,12118.6,3279881,5751693c3d9a;756779714101;7810c45d112c;784a7349f706;c01c89b6105b,58,1.8275862068965518,0.8642132168727162
CTransPath,FedProx,labelskew_0.1,5,0.9071111440658569,0.875834011391375,0.02699004903612766,0.8315737792902042,0.04026702622278217,0.8336524733569233,0.044168616590275225,0.8299765730072526,0.034417250997042355,0.8299765730072526,251.6,201.6,7919.2,3279881,244087188ae4;35488828d89c;91a4740e1d25;a28c76c5e87c;c6bf0e616654,107,2.953271028037383,0.6854836993221605
CTransPath,FedProx,labelskew_1.0,5,0.9502222418785096,0.9163547599674532,0.005678225003211662,0.9028458064392553,0.011378347646448992,0.8973537539172913,0.008284483994351756,0.8937137346640297,0.009784676298021664,0.8937137346640297,325.8,275.8,10247.6,3279881,0aadec5c2b74;7233820797ab;73f2434bee3f;80864ceb8b0f;f2e31dde97a2,107,5.457943925233645,0.43625714108044655
CTransPath,FedProx,project_tss,5,0.6120000123977661,0.5796582587469488,0.014470972328812509,0.333565612651995,0.011155396008865026,0.27913264020400075,0.02431392478427921,0.41614275844011833,0.013018096223966151,0.41614275844011833,163.0,111.0,5188.4,3279881,46e616e01e3d;4fa42e82f859;6e71349d8a07;9115d591ef91;98db26b74a3d,107,1.0,1.0
