setting,fm,BRCA,COAD,STAD,LGG,LUAD,HNSC,SKCM,CESC,PAAD,BRCA_sd,COAD_sd,STAD_sd,LGG_sd,LUAD_sd,HNSC_sd,SKCM_sd,CESC_sd,PAAD_sd
FedAvg-adam,UNI_v2,0.9734104046242775,0.7263157894736842,0.5740458015267176,1.0,0.9633333333333333,0.7479166666666667,0.7418181818181818,0.812,0.20975609756097563,0.010299728139425106,0.11602846150025582,0.07903620827813608,0.0,0.05451809077932042,0.2871109989088618,0.18245343569893965,0.13311649033834985,0.31594546175046395
FedAvg-adam,Virchow2,0.9670520231213873,0.8305263157894738,0.5083969465648855,1.0,0.9716666666666667,0.8104166666666668,0.9236363636363636,0.9560000000000001,0.8829268292682928,0.016802822952310545,0.08659454346810053,0.12292209762200874,0.0,0.022515426810177153,0.049629705206548316,0.032524625127269675,0.035777087639996624,0.03180098734245197
FedAvg-adam,Phikon_v2,0.9884393063583815,0.8736842105263157,0.6351145038167939,1.0,0.65,0.8729166666666666,0.5636363636363637,0.8479999999999999,0.4,0.008426231061915165,0.04496844076482911,0.11694596695280944,0.0,0.3490065265228654,0.16244657241348273,0.43408495950230264,0.09757048734120376,0.4928398687489025
FedAvg-adam,Conch_v15,0.9751445086705202,0.7989473684210526,0.5938931297709923,1.0,0.9683333333333334,0.8166666666666667,0.9199999999999999,0.708,0.5463414634146342,0.009715454516746578,0.05320737665726363,0.11288938208121743,0.0,0.021570298509241304,0.09217425752345393,0.04185768884807761,0.1527088733505686,0.31310842021231633
FedAvg-adam,CTransPath,0.9658959537572255,0.7547368421052632,0.32671755725190843,0.9810000000000001,0.008333333333333333,0.2916666666666667,0.0,0.0,0.0,0.022143330993500538,0.14459801954943133,0.19539599091024312,0.03471310991541955,0.014433756729740645,0.4106994584107568,0.0,0.0,0.0
FedAvg-adam,Midnight12k,0.9554913294797689,0.6368421052631579,0.4870229007633588,1.0,0.9566666666666667,0.8541666666666667,0.7272727272727273,0.884,0.5365853658536586,0.018118413894401678,0.137397657707438,0.1705556035880176,0.0,0.02725904538966024,0.014731391274719745,0.14083575804390605,0.03847076812334272,0.16270322029422357
FedAvg-adam,ResNet50,0.9687861271676301,0.07052631578947369,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.044182802280688944,0.15770163630787992,0.0,0.40820644286929136,0.0,0.0,0.0,0.0,0.0
FedProx-adam,UNI_v2,0.9734104046242775,0.7157894736842105,0.6381679389312978,1.0,0.99,0.8020833333333333,0.7636363636363636,0.792,0.17560975609756097,0.011632723582368866,0.14259175983309544,0.0882991984178397,0.0,0.0069721668877839905,0.16617766805774808,0.231416764751961,0.16161683080669537,0.3062894161161093
FedProx-adam,Virchow2,0.9751445086705204,0.8178947368421052,0.5999999999999999,1.0,0.985,0.8479166666666667,0.9781818181818182,0.9640000000000001,0.8341463414634147,0.012697041986409693,0.08524041282067639,0.1064057518271928,0.0,0.006972166887783991,0.050281326608946554,0.039417242524870555,0.03577708763999662,0.08162536844234886
FedProx-adam,Phikon_v2,0.9884393063583815,0.8842105263157893,0.6625954198473283,0.999,0.7666666666666667,0.9375,0.7236363636363635,0.8719999999999999,0.6780487804878048,0.008174644869208648,0.028586264450526883,0.12442982248534334,0.0022360679774997916,0.38142641637819363,0.01804219591217579,0.34290928371728885,0.15401298646542763,0.4126206491669761
FedProx-adam,Conch_v15,0.9791907514450868,0.8063157894736843,0.5893129770992366,1.0,0.9833333333333334,0.8666666666666668,0.9309090909090909,0.6559999999999999,0.7073170731707317,0.005170099369941723,0.05487331165885626,0.14027950820790708,0.0,0.00833333333333336,0.04623404379410864,0.04527236217450449,0.17401149387324963,0.23584243421724047
FedProx-adam,CTransPath,0.9682080924855491,0.834736842105263,0.2641221374045802,0.986,0.023333333333333334,0.30625,0.0,0.0,0.0,0.009365232223132772,0.08175702126616274,0.14388857384408818,0.023822258499143212,0.04346134936801766,0.4193662546695377,0.0,0.0,0.0
FedProx-adam,Midnight12k,0.9618497109826588,0.6568421052631579,0.4442748091603053,1.0,0.9616666666666667,0.8625,0.7272727272727273,0.9,0.5853658536585366,0.024472789745683888,0.07530179354307125,0.07025389535782312,0.0,0.03613247231446468,0.011410886614690967,0.12128785512842123,0.024494897427831803,0.25288343113814293
FedProx-adam,ResNet50,0.9179190751445088,0.13999999999999999,0.0015267175572519084,0.305,0.0,0.0,0.0,0.0,0.0,0.1124310890032923,0.31304951684997057,0.003413844240457694,0.4251470333896263,0.0,0.0,0.0,0.0,0.0
SCAFFOLD-adam,UNI_v2,0.9080924855491329,0.6768421052631579,0.0732824427480916,0.994,0.6083333333333334,0.25,0.0,0.024,0.0,0.0563917197971414,0.38914637740455893,0.16386452354196931,0.006519202405202654,0.43497285994517965,0.4156236946512501,0.0,0.05366563145999496,0.0
SCAFFOLD-adam,Virchow2,0.8739884393063584,0.8578947368421053,0.004580152671755725,0.9289999999999999,0.6100000000000001,0.7916666666666667,0.16363636363636364,0.12,0.0,0.04747280286572756,0.14604670447906956,0.010241532721373082,0.14770748119171215,0.3839849534089122,0.28942591644687093,0.3659020326817838,0.2683281572999748,0.0
SCAFFOLD-adam,Phikon_v2,0.976878612716763,0.21052631578947367,0.0,0.752,0.49000000000000005,0.0,0.0,0.028000000000000004,0.0,0.017816225442106887,0.41175591834008735,0.0,0.3384449733708569,0.30398967453224823,0.0,0.0,0.06260990336999411,0.0
SCAFFOLD-adam,Conch_v15,0.9786127167630058,0.6642105263157895,0.0015267175572519084,0.93,0.9166666666666666,0.5625,0.0,0.0,0.0,0.015777276374515814,0.37528198077839137,0.003413844240457694,0.12898643339514432,0.09877724659274749,0.456376029016765,0.0,0.0,0.0
