fm,sampling,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,r60,reach60,r80,r80_sd,reach80,coverage_frac,max_sel_share
Conch_v15,pathology_aware,5,0.9013333559036255,0.8667209113100082,0.01676830819761731,0.8025186376772557,0.030997926273487054,0.8207275997842112,0.02760436899060677,0.830675371411911,0.021113201708332148,0.830675371411911,189.6,139.6,6017.2,3279881,23d0ac3235ce;4c7c6897cb69;6edbbbe91c2a;aa40a07f3c13;e7e84555baf4,13.2,1.0,45.0,13.171939872319491,1.0,1.0,0.2219465446245498
Conch_v15,stratified,5,0.9075555682182312,0.8704637917005696,0.025154107355670023,0.814030426522028,0.055291105121106805,0.8213475347660685,0.056833579768637746,0.835765340764518,0.03411749580129759,0.835765340764518,190.4,140.4,5907.4,3279881,48190d037628;d2f6dc6d9c3c;d4b7e81ed792;e19c6698855b;e9ec436f1537,13.6,1.0,48.2,25.839891640639674,1.0,1.0,0.30626196783790266
Conch_v15,ucb,5,0.7742222309112549,0.7433685923515052,0.05913145099950122,0.5369829295415075,0.06633209279926004,0.48374651860967627,0.07500134170083532,0.6432322098890715,0.07869181411443348,0.6432322098890715,190.0,140.0,6012.0,3279881,16d786170a86;3a10a7dc1796;84757def3f2e;a8f80362f915;fdb9d8de5f77,34.8,1.0,111.5,10.606601717798213,0.4,0.03057706430421318,0.19193968035509293
Conch_v15,uniform,5,0.8568889141082764,0.8278275020341741,0.01467540680311876,0.7010417384691393,0.03736029227297807,0.6833041802853247,0.039818500284895274,0.7661541596385912,0.027439876575433893,0.7661541596385912,137.8,87.8,4385.0,3279881,089d1ead21f1;1350674592f7;7e63a1ecf7fe;d051af06fa16;d243545ab70e,12.0,1.0,64.4,15.109599597606815,1.0,0.31032183968129035,0.273374851236112
Phikon_v2,pathology_aware,5,0.9035555720329285,0.8898291293734744,0.09955340442345657,0.8428595646148602,0.1772703903578403,0.8467839097948133,0.19100299722883243,0.8506813658580341,0.16395138967417322,0.8506813658580341,396.0,346.0,12147.0,4328457,039510598c06;0415eff88eac;09578168cec5;2dda723535c0;a84cae5e5f05,27.2,1.0,120.5,22.15851980616034,0.8,1.0,0.6113453900221268
Phikon_v2,stratified,5,0.8795555830001831,0.8484947111472743,0.08263335091753136,0.759087894556058,0.1564583868899773,0.7678288391423181,0.15967561484259435,0.7816454469573834,0.13428811271335594,0.7816454469573834,274.4,224.4,8483.0,4328457,2c623ed62b3e;3b37663a7e81;662ac1205a75;dddf2cc47b23;f55bec47e7d6,38.0,1.0,111.4,28.324900705915987,1.0,1.0,0.3045811757923352
Phikon_v2,ucb,5,0.7297777891159057,0.6958502847843775,0.09976233657719093,0.4851850474780105,0.14553869932267935,0.44838478996023035,0.1623820063415999,0.5630919344280942,0.13124482345394292,0.5630919344280942,260.8,210.4,8253.4,4328457,38816c7a7f3b;3ce737c3caff;4696f722d517;a97e099bbe65;dac7b4f26b78,67.0,1.0,297.0,,0.2,0.01157889148439159,0.19470867909640283
Phikon_v2,uniform,5,0.8506666898727417,0.8164361269324655,0.06758994662111421,0.6713279661251533,0.11047902214031248,0.6695489464611247,0.1374811815245156,0.7322051744051252,0.09531427337326509,0.7322051744051252,262.2,212.2,8316.0,4328457,5d3ed660c5d1;a6541e967171;aa43046a3486;e89d9eb96555;f9c026e8755b,26.0,1.0,154.5,11.733143937865362,0.8,0.2948840594220535,0.2570839133445615
UNI_v2,pathology_aware,10,0.8357777953147888,0.8145646867371846,0.04411935636936912,0.7047521322481073,0.07784482762791708,0.6948550682783995,0.08987693107852907,0.7624175582089174,0.06494149285757872,0.7624175582089174,191.4,141.3,6097.4,6425609,0e1a1ccf86eb;1d8cba10419a;2807c397c98b;4e1e57b9b0cd;93103e68e49f;9d2698bbf58b;d0ed882b8a62;e5e551fb7492;ea67faad6a54;eb905d529c87,17.7,1.0,101.0,51.01820403402243,0.8,1.0,0.2029890170727145
UNI_v2,stratified,10,0.8580000221729278,0.83653376729048,0.04997496609026057,0.7447220848858962,0.08533876282905856,0.7504681358202054,0.08886964195696113,0.7886224433961768,0.06911195725377227,0.7886224433961768,247.1,197.1,7598.5,6425609,11e125f45a47;19cbfbcd5b00;2a7f83531c92;43d5da09d7f8;5d90f00fc564;62e4c3d52ab4;dfbb2265cba3;e1390a3e3ffb;e49a1740283d;f204720aef32,15.5,1.0,110.0,30.724582991474428,0.9,1.0,0.30500751819898675
UNI_v2,ucb,10,0.7080000162124633,0.6890968266883645,0.06627449048447534,0.4704532213522844,0.07728492354377693,0.42285339174277625,0.08001777242188955,0.5756950015484328,0.0904035099346507,0.5756950015484328,192.2,141.2,6087.2,6425609,171f56e64e53;6541ea84a1be;6fee455389d0;7bab98fc84af;b132adf4d950;d397c02e2637;e51757e23a65;eacefdc84258;f08d72f5178b;f829b748f0ec,42.9,1.0,293.0,,0.1,0.027419012367876305,0.1959237657015482
UNI_v2,uniform,10,0.7911111295223237,0.7779495524816924,0.03201916147613979,0.6125451149232094,0.06113507315394605,0.5799046945961628,0.07826855078710775,0.7019536430948788,0.04160816527525645,0.7019536430948788,166.8,116.3,5284.2,6425609,02cf77984979;43ac1d9fb107;957d44f67021;966acab22fb8;c56233e1266e;e09498630ea4;e3f4e99f18ba;ea0e6fa505e2;f2990a784be5;f9342b1330a4,20.6,1.0,117.8,28.34960317182588,0.5,0.2957785795717814,0.2706949320442468
