fm,algorithm,lr,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys
CTransPath,FedAvg,0.003,5,0.6066666841506958,0.5804719283970707,0.01586760130930822,0.33161715969017697,0.014424945389764706,0.2681433116382165,0.020965223886864316,0.4221458385347147,0.011038181134648413,,162.6,112.6,5040.6,3279881,0fff84b2d890;b39f1e0a87e7;cfa6266ed798;d9d8044c262c;e93aee0c677c
CTransPath,FedAvg,0.01,5,0.837333345413208,0.8109031733116355,0.008526077720051952,0.7392140563957033,0.019021467959351425,0.734076500393396,0.016231204491425313,0.7651151948499548,0.015880150847249672,,277.6,227.6,8629.6,3279881,628629feafe2;cad27cdff9c1;d870e69c6391;d8ee43d8e707;ed93ecc8dcc8
CTransPath,FedAvg,0.03,5,0.8355555653572082,0.8060211554109031,0.013899230619094625,0.7376989324429274,0.02454169639515856,0.7257332051973608,0.02062988958361677,0.7682122229871171,0.020820111129001662,,142.8,91.2,4437.2,3279881,41f9680db036;58307ce128c5;946a483d850d;a49598c48044;d70530aa8738
CTransPath,FedAvg,0.1,5,0.8595555782318115,0.8424735557363711,0.04793612360222527,0.7994174287784632,0.08642454152317265,0.7806846948140617,0.09006518450058713,0.8224974748455564,0.06009030374300137,,228.2,178.0,7055.8,3279881,515678dff49e;a6b60c9a7fb5;dfeb9da05975;f810e31364fd;ff7e5dab2ad7
CTransPath,FedBN,0.003,5,0.17694567126395896,0.22148087876322214,0.053638668442331706,0.13170806017194406,0.012390343385216232,0.09714145914065117,0.026937854189972743,0.15661462367802154,0.02941686946745666,,121.4,67.0,3680.2,3281417,478da6c2ca2b;6b8418e629e8;b0bf7c7f1a35;d24c65cd97d7;dc74de3e8189
CTransPath,FedBN,0.01,5,0.2356953135520404,0.3044751830756713,0.01985087151437189,0.16495830638480322,0.04447086889712629,0.12336346344593152,0.053936063122330104,0.20869065090731223,0.017266328547410104,,150.8,95.2,4579.8,3281417,4bd9eb79c5ce;69a5ca75207f;963e31ccd296;d30d4135b958;f69ee62142d2
CTransPath,FedBN,0.03,5,0.3582771667923095,0.42733930024410094,0.180428745179327,0.32199744842809513,0.20822171736738151,0.288424636463164,0.22775996009749508,0.35131635303787034,0.1549537186672663,,173.8,122.8,5274.8,3281417,108217e60276;130eca21d2a1;b1e21636d6df;cc1f0483dde2;d0cf4be1c81b
CTransPath,FedBN,0.1,5,0.9998762376237623,0.9860048820179006,0.010378674546081948,0.9890811116332113,0.00853619854544739,0.9848124244309293,0.011083427503203723,0.9873899760766459,0.008935031622706889,,315.4,265.4,9611.0,3281417,116d802e6eaf;3ab077edcf20;9598d1445ef4;a954ba523540;d4c9151ba51f
CTransPath,FedProx,0.003,5,0.6066666841506958,0.5806346623270952,0.015636435975513497,0.3318394711941276,0.014344123917657142,0.26839942962296903,0.021103536643039014,0.42257418744437214,0.010148909120551945,,162.6,112.6,5040.6,3279881,6a09a99232d6;70a55583bd50;913cefb95947;a0c27e9afa49;e1ea9588126b
CTransPath,FedProx,0.01,5,0.8368888974189759,0.81106590724166,0.008522194286591475,0.739594363532108,0.02027820411446766,0.7345347522375308,0.017219728820764623,0.7648160045064949,0.015684404369615653,,277.6,227.6,8629.6,3279881,6acfa115ee41;708907e89401;77b0b881fd81;b66c7c7be4b8;d0aea348d7b8
