cancer,fm,mode,lr,val,c
BRCA,CTransPath,central,0.0001,0.7896694214876033,0.5976763037017022
BRCA,CTransPath,central,0.0003,0.8004132231404959,0.594271818427452
BRCA,CTransPath,central,0.001,0.8417355371900828,0.6310186436098352
BRCA,CTransPath,central_legacy,0.0003,-1.0,0.5594974331261822
BRCA,CTransPath,central_strat,0.0001,0.771900826446281,0.5924344771683329
BRCA,CTransPath,central_strat,0.0003,0.7661157024793388,0.5910834909483923
BRCA,CTransPath,central_strat,0.001,0.7681818181818182,0.601999459605512
BRCA,CTransPath,fl,0.0001,0.7727272727272727,0.5836260470143204
BRCA,CTransPath,fl,0.0003,0.7735537190082644,0.5897325047284518
BRCA,CTransPath,fl,0.001,0.7710743801652893,0.5874628478789516
BRCA,CTransPath,fl_legacy_restore,0.0003,-1.0,0.5561199675763306
BRCA,Conch_v15,central,0.0001,0.7669421487603306,0.63204539313699
BRCA,Conch_v15,central,0.0003,0.8082644628099175,0.6519859497433126
BRCA,Conch_v15,central,0.001,0.8194214876033058,0.6840853823291002
BRCA,Conch_v15,central_legacy,0.0003,-1.0,0.6621994055660633
BRCA,Conch_v15,central_strat,0.0001,0.706198347107438,0.6096730613347743
BRCA,Conch_v15,central_strat,0.0003,0.7132231404958678,0.6139421777897865
BRCA,Conch_v15,central_strat,0.001,0.7338842975206612,0.6146446906241556
BRCA,Conch_v15,fl,0.0001,0.709504132231405,0.6177789786544177
BRCA,Conch_v15,fl,0.0003,0.7099173553719008,0.6253985409348826
BRCA,Conch_v15,fl,0.001,0.7119834710743802,0.6285328289651446
BRCA,Conch_v15,fl_legacy_restore,0.0003,-1.0,0.5583896244258308
BRCA,Midnight12k,central,0.0001,0.8458677685950413,0.6043771953526074
BRCA,Midnight12k,central,0.0003,0.8471074380165289,0.601296946771143
BRCA,Midnight12k,central,0.001,0.8471074380165289,0.60772764117806
BRCA,Midnight12k,central_legacy,0.0003,-1.0,0.6143744933801675
BRCA,Midnight12k,central_strat,0.0001,0.7528925619834711,0.5486084841934613
BRCA,Midnight12k,central_strat,0.0003,0.7574380165289256,0.5456903539583896
BRCA,Midnight12k,central_strat,0.001,0.756198347107438,0.5483923263982707
BRCA,Midnight12k,fl,0.0001,0.7177685950413223,0.5596865711969738
BRCA,Midnight12k,fl,0.0003,0.7173553719008264,0.5561740070251283
BRCA,Midnight12k,fl,0.001,0.7194214876033058,0.5616860308024858
BRCA,Midnight12k,fl_legacy_restore,0.0003,-1.0,0.5343420697108889
BRCA,Phikon_v2,central,0.0001,0.7239669421487603,0.629613617941097
BRCA,Phikon_v2,central,0.0003,0.734297520661157,0.6292893812483114
BRCA,Phikon_v2,central,0.001,0.7450413223140495,0.6256146987300729
BRCA,Phikon_v2,central_legacy,0.0003,-1.0,0.642637125101324
BRCA,Phikon_v2,central_strat,0.0001,0.6677685950413224,0.5585517427722237
BRCA,Phikon_v2,central_strat,0.0003,0.6669421487603306,0.5595244528505809
BRCA,Phikon_v2,central_strat,0.001,0.6719008264462809,0.5540664685220211
BRCA,Phikon_v2,fl,0.0001,0.6950413223140496,0.5727100783572008
BRCA,Phikon_v2,fl,0.0003,0.6950413223140496,0.5744393407187247
BRCA,Phikon_v2,fl,0.001,0.6851239669421487,0.5815185085112132
BRCA,Phikon_v2,fl_legacy_restore,0.0003,-1.0,0.58340988921913
BRCA,ResNet50,central,0.0001,0.7863636363636364,0.6196163199135369
BRCA,ResNet50,central,0.0003,0.849586776859504,0.6083761145636315
BRCA,ResNet50,central,0.001,0.8628099173553719,0.617454741961632
BRCA,ResNet50,central_legacy,0.0003,-1.0,0.5920021615779519
BRCA,ResNet50,central_strat,0.0001,0.7276859504132231,0.6028100513374763
BRCA,ResNet50,central_strat,0.0003,0.7198347107438017,0.6016211834639287
BRCA,ResNet50,central_strat,0.001,0.7648760330578512,0.5842745203998919
BRCA,ResNet50,fl,0.0001,0.7264462809917356,0.5670359362334504
BRCA,ResNet50,fl,0.0003,0.740909090909091,0.5825992974871657
BRCA,ResNet50,fl,0.001,0.743801652892562,0.5837881653607133
BRCA,ResNet50,fl_legacy_restore,0.0003,-1.0,0.5630910564712239
BRCA,UNI_v2,central,0.0001,0.7276859504132231,0.6310186436098352
BRCA,UNI_v2,central,0.0003,0.7355371900826446,0.6194001621183464
BRCA,UNI_v2,central,0.001,0.7493801652892562,0.6397189948662524
BRCA,UNI_v2,central_legacy,0.0003,-1.0,0.6624966225344502
BRCA,UNI_v2,central_strat,0.0001,0.6925619834710744,0.6118886787354769
BRCA,UNI_v2,central_strat,0.0003,0.6966942148760331,0.6051337476357741
BRCA,UNI_v2,central_strat,0.001,0.702892561983471,0.6084301540124291
BRCA,UNI_v2,fl,0.0001,0.6632231404958677,0.6118886787354769
BRCA,UNI_v2,fl,0.0003,0.6677685950413224,0.6141042961361795
BRCA,UNI_v2,fl,0.001,0.7243801652892563,0.5749256957579033
BRCA,UNI_v2,fl_legacy_restore,0.0003,-1.0,0.5700621453661172
BRCA,Virchow2,central,0.0001,0.7690082644628099,0.6232369629829776
BRCA,Virchow2,central,0.0003,0.7913223140495868,0.5826533369359632
BRCA,Virchow2,central,0.001,0.8024793388429752,0.6197243988111321
BRCA,Virchow2,central_legacy,0.0003,-1.0,0.59886517157525
BRCA,Virchow2,central_strat,0.0001,0.762396694214876,0.5860578222102134
BRCA,Virchow2,central_strat,0.0003,0.7615702479338843,0.5875168873277492
BRCA,Virchow2,central_strat,0.001,0.7710743801652893,0.5786003782761415
BRCA,Virchow2,fl,0.0001,0.7541322314049588,0.605295865982167
BRCA,Virchow2,fl,0.0003,0.7566115702479339,0.6071332072412862
BRCA,Virchow2,fl,0.001,0.7586776859504132,0.6076736017292623
BRCA,Virchow2,fl_legacy_restore,0.0003,-1.0,0.5805457984328559
COAD,CTransPath,central,0.0001,0.7772455089820359,0.5494366197183098
COAD,CTransPath,central,0.0003,0.7916167664670659,0.5247887323943662
COAD,CTransPath,central,0.001,0.8239520958083831,0.4892957746478873
COAD,CTransPath,central_legacy,0.0003,-1.0,0.4905633802816901
COAD,CTransPath,central_strat,0.0001,0.6838323353293413,0.43535211267605634
COAD,CTransPath,central_strat,0.0003,0.6802395209580838,0.4426760563380282
COAD,CTransPath,central_strat,0.001,0.6862275449101796,0.45380281690140845
COAD,CTransPath,fl,0.0001,0.7137724550898203,0.4915492957746479
COAD,CTransPath,fl,0.0003,0.6910179640718563,0.496056338028169
COAD,CTransPath,fl,0.001,0.7017964071856287,0.49450704225352116
COAD,CTransPath,fl_legacy_restore,0.0003,-1.0,0.526338028169014
COAD,Conch_v15,central,0.0001,0.8610778443113773,0.6130985915492957
COAD,Conch_v15,central,0.0003,0.8395209580838323,0.6195774647887324
COAD,Conch_v15,central,0.001,0.8251497005988024,0.6273239436619719
COAD,Conch_v15,central_legacy,0.0003,-1.0,0.6392253521126761
COAD,Conch_v15,central_strat,0.0001,0.652694610778443,0.5322535211267605
COAD,Conch_v15,central_strat,0.0003,0.6538922155688622,0.5594366197183099
COAD,Conch_v15,central_strat,0.001,0.681437125748503,0.5442253521126761
COAD,Conch_v15,fl,0.0001,0.7197604790419161,0.5653521126760563
COAD,Conch_v15,fl,0.0003,0.7149700598802395,0.5878873239436619
COAD,Conch_v15,fl,0.001,0.7005988023952096,0.5849295774647887
COAD,Conch_v15,fl_legacy_restore,0.0003,-1.0,0.6080281690140845
COAD,Midnight12k,central,0.0001,0.7676646706586826,0.5650704225352113
COAD,Midnight12k,central,0.0003,0.7748502994011977,0.5563380281690141
COAD,Midnight12k,central,0.001,0.7964071856287426,0.5498591549295775
COAD,Midnight12k,central_legacy,0.0003,-1.0,0.5936619718309859
COAD,Midnight12k,central_strat,0.0001,0.6934131736526946,0.44281690140845076
