cancer,fm,mode,lr,n,val,c,c_sd,c_slide,best_round
BRCA,CTransPath,central,0.001,5,0.8417355371900828,0.6310186436098352,0.02970056481449122,0.6341168914579318,158.2
BRCA,CTransPath,central_strat,0.0001,5,0.771900826446281,0.5924344771683329,0.012407909333534644,0.5508028259473347,32.0
BRCA,CTransPath,fl,0.0003,5,0.7735537190082644,0.5897325047284518,0.010395748984088606,0.5542967244701349,62.0
BRCA,Conch_v15,central,0.001,5,0.8194214876033058,0.6840853823291002,0.04416191902910483,0.6727552986512524,231.4
BRCA,Conch_v15,central_strat,0.001,5,0.7338842975206612,0.6146446906241556,0.021108613881082098,0.5797045600513808,71.4
BRCA,Conch_v15,fl,0.001,5,0.7119834710743802,0.6285328289651446,0.002523127269371224,0.588131021194605,16.2
BRCA,Midnight12k,central,0.0003,5,0.8471074380165289,0.601296946771143,0.003833564744152693,0.5799871547848426,37.2
BRCA,Midnight12k,central_strat,0.0003,5,0.7574380165289256,0.5456903539583896,0.0070474361588567765,0.5334874759152216,30.0
BRCA,Midnight12k,fl,0.001,5,0.7194214876033058,0.5616860308024858,0.007077930139669986,0.5430443159922929,37.6
BRCA,Phikon_v2,central,0.001,5,0.7450413223140495,0.6256146987300729,0.007206216724716526,0.6038278741168914,88.0
BRCA,Phikon_v2,central_strat,0.001,5,0.6719008264462809,0.5540664685220211,0.022921104696451974,0.543121387283237,2.4
BRCA,Phikon_v2,fl,0.0001,5,0.6950413223140496,0.5727100783572008,0.00482436403580993,0.5623378291586384,73.0
BRCA,ResNet50,central,0.001,5,0.8628099173553719,0.617454741961632,0.010347884220999972,0.6341682723185613,208.0
BRCA,ResNet50,central_strat,0.001,5,0.7648760330578512,0.5842745203998919,0.021904815746648983,0.5831984585741811,137.2
BRCA,ResNet50,fl,0.001,5,0.743801652892562,0.5837881653607133,0.003107855635668326,0.554553628773282,80.8
BRCA,UNI_v2,central,0.001,5,0.7493801652892562,0.6397189948662524,0.009253220121266226,0.6179447655748234,90.8
BRCA,UNI_v2,central_strat,0.001,5,0.702892561983471,0.6084301540124291,0.020199299732086545,0.5903147077713552,8.2
BRCA,UNI_v2,fl,0.001,5,0.7243801652892563,0.5749256957579033,0.015879002613835583,0.5672447013487476,216.6
BRCA,Virchow2,central,0.001,5,0.8024793388429752,0.6197243988111321,0.04461552987107281,0.6105587668593448,11.4
BRCA,Virchow2,central_strat,0.001,5,0.7710743801652893,0.5786003782761415,0.02479462767995074,0.5757739242132306,12.4
BRCA,Virchow2,fl,0.001,5,0.7586776859504132,0.6076736017292623,0.0030984449989677277,0.5865895953757225,19.0
COAD,CTransPath,central,0.001,5,0.8239520958083831,0.4892957746478873,0.028956424313543717,0.4961753152780649,137.8
COAD,CTransPath,central_strat,0.001,5,0.6862275449101796,0.45380281690140845,0.011085679197826673,0.4339466611536076,57.0
COAD,CTransPath,fl,0.0001,5,0.7137724550898203,0.4915492957746479,0.026453014043652034,0.4475501343808146,300.8
COAD,Conch_v15,central,0.0001,5,0.8610778443113773,0.6130985915492957,0.006982137779124212,0.6045896216663221,183.6
COAD,Conch_v15,central_strat,0.001,5,0.681437125748503,0.5442253521126761,0.0238263488979155,0.5322720694645442,125.2
COAD,Conch_v15,fl,0.0001,5,0.7197604790419161,0.5653521126760563,0.05088826147279027,0.5568327475708084,131.6
COAD,Midnight12k,central,0.001,5,0.7964071856287426,0.5498591549295775,0.00889946939122488,0.5367376473020468,98.4
COAD,Midnight12k,central_strat,0.001,5,0.7101796407185629,0.42802816901408447,0.010306741620549684,0.41091585693611743,85.2
COAD,Midnight12k,fl,0.001,5,0.6826347305389222,0.47563380281690143,0.013859111988940702,0.4663221004755013,36.8
COAD,Phikon_v2,central,0.001,5,0.8299401197604791,0.5429577464788732,0.007617361849571869,0.5448418441182551,26.2
COAD,Phikon_v2,central_strat,0.001,5,0.8610778443113773,0.4528169014084507,0.01585680316788407,0.4351457514988629,38.8
COAD,Phikon_v2,fl,0.0001,5,0.8922155688622755,0.4950704225352113,0.003265358625174527,0.47583212735166425,258.0
COAD,ResNet50,central,0.001,5,0.8455089820359282,0.502112676056338,0.014075701472751175,0.4874095513748191,376.0
COAD,ResNet50,central_strat,0.001,5,0.6718562874251497,0.49352112676056337,0.07039330379237639,0.48248914616497834,247.4
COAD,ResNet50,fl,0.0003,5,0.5772455089820359,0.5554929577464789,0.022076088866979305,0.547942939838743,1.6
