cancer,fm,fl,fl_sd,fl_lo,fl_hi,central,central_sd,central_lo,central_hi,diff,diff_lo,diff_hi,diff_lo_pat,diff_hi_pat,diff_t_lo,diff_t_hi,n_pat,n_ev,strat,strat_sd,strat_lo,strat_hi,diff_strat,diff_strat_lo,diff_strat_hi,diff_strat_lo_pat,diff_strat_hi_pat
BRCA,UNI_v2,0.5749256957579033,0.015879002613835576,0.4634177525863107,0.6848993229329217,0.6397189948662524,0.00925322012126627,0.5254568762545486,0.7431263245286316,-0.06479329910834908,-0.17666242947117963,0.04319945425150002,-0.1697883097274291,0.036693697923061555,-0.08921925770767976,-0.040367340509018454,226,34,0.6084301540124291,0.020199299732086548,0.49823054085697055,0.7163882374653584,-0.03350445825452575,-0.14165208638984622,0.08441625588648852,-0.13294677491307794,0.08036425034011978
BRCA,Virchow2,0.6076736017292623,0.003098444998967734,0.48290968986734,0.7315706324258713,0.6197243988111321,0.044615529871072784,0.5097297516372936,0.7279466576747552,-0.012050797081869735,-0.07380407839439325,0.062400706198266036,-0.0627075793786275,0.037140124497109586,-0.06756195819027325,0.04346036402653373,226,34,0.5786003782761415,0.02479462767995074,0.46499665218817765,0.6912773565447524,0.0290732234531208,-0.04024701436110424,0.11056324263473345,-0.03644261937125044,0.10461673403111849
BRCA,Phikon_v2,0.5727100783572008,0.0048243640358099265,0.46181203391335224,0.6842403820263869,0.6256146987300729,0.007206216724716507,0.5247990849468734,0.7303229978047985,-0.052904620372872135,-0.12388910773692195,0.024901475343573006,-0.1204098616918434,0.015806069357241898,-0.06090529517041793,-0.044903945575326426,226,34,0.5540664685220211,0.022921104696451984,0.4487767987472606,0.6573804429371518,0.018643609835179653,-0.03480508824002728,0.07474410977545282,-0.031107601384001173,0.06477794209480035
BRCA,Conch_v15,0.6285328289651446,0.002523127269371221,0.5137433488110507,0.7340994505075479,0.6840853823291003,0.04416191902910482,0.5834018777880369,0.7725969094121443,-0.0555525533639557,-0.16761456672177075,0.05361934691519434,-0.16375675558186106,0.03701017260530069,-0.10941823261543049,-0.001686874112480953,226,34,0.6146446906241556,0.021108613881082094,0.5136417462755831,0.7125733107711569,0.013888138340989009,-0.0446475018390412,0.0716966897344538,-0.03413070989834273,0.05869328375203406
BRCA,CTransPath,0.5897325047284517,0.010395748984088609,0.4682206891313059,0.6988712238001805,0.6310186436098352,0.02970056481449129,0.5297126622711534,0.7300601266080278,-0.04128613888138344,-0.1694915690867695,0.06735050224758185,-0.1640659035267651,0.06387441750982091,-0.08873123334930133,0.006158955586534454,226,34,0.5924344771683329,0.01240790933353465,0.4639773490270701,0.7088745309240166,-0.0027019724398811285,-0.02904916713474164,0.023050412143794243,-0.02376610839124417,0.016271578012618883
BRCA,Midnight12k,0.5616860308024858,0.007077930139669986,0.4614840235805679,0.6614700158781364,0.601296946771143,0.0038335647441527037,0.4974489576581701,0.7004299086331416,-0.03961091596865718,-0.1065781651320869,0.034226410539798496,-0.1063811027885091,0.03304987939873016,-0.0531426073986981,-0.02607922453861618,226,34,0.5456903539583896,0.00704743615885676,0.44901627268043426,0.6610707292935516,0.015995676844096196,-0.034249540704381985,0.06684501094044919,-0.03062223456721339,0.06369187924312199
BRCA,ResNet50,0.5837881653607132,0.0031078556356683206,0.45359728180790404,0.7078578991422942,0.6174547419616321,0.010347884220999942,0.4852103551778926,0.7311082400664679,-0.033666576600918874,-0.14344754189032355,0.0740669890569276,-0.14223180734253432,0.07115392747148827,-0.04377492246362616,-0.023558230738211228,226,34,0.5842745203998919,0.021904815746648983,0.46960563577348285,0.6962038071780435,-0.0004863550391787097,-0.08073183898712481,0.08305292040719896,-0.07675884892419765,0.07948807320043376
COAD,UNI_v2,0.4847887323943662,0.004329697506743486,0.33617460780773056,0.6375761162674023,0.5419718309859155,0.017261423887158945,0.4088425581202945,0.6875231048629148,-0.0571830985915493,-0.17888625693555274,0.057998794482801944,-0.18037106075402567,0.055731938355415706,-0.08013868434350213,-0.034227512839596436,96,26,0.42788732394366197,0.005862438137540109,0.27820235649681957,0.6026827437733426,0.05690140845070424,-0.02026415873809347,0.14686008046807478,-0.017826134539617663,0.14624199816829828
COAD,Virchow2,0.4701408450704225,0.003093786286829404,0.31923736297474986,0.6354072305593451,0.6219718309859156,0.019217740844904463,0.49268998622485033,0.7400304859516187,-0.1518309859154931,-0.2754639087349411,-0.03780037224106671,-0.27182261215309633,-0.0421643675059898,-0.17819125892213977,-0.1254707129088462,96,26,0.45577464788732397,0.009609515551220093,0.30876275501812506,0.6107878557912165,0.014366197183098506,-0.05669584462968515,0.08982410643071945,-0.05365509426548692,0.08729690238668561
COAD,Phikon_v2,0.4950704225352113,0.003265358625174539,0.35928910410866105,0.6407684777578285,0.5429577464788732,0.007617361849571852,0.41797570131977435,0.6784405617888747,-0.04788732394366191,-0.18435992935033022,0.08312781219844624,-0.18561278155546113,0.08084219303731492,-0.059828721650555666,-0.03594592623676829,96,26,0.4528169014084507,0.015856803167884067,0.31580318190490325,0.5935983462226067,0.04225352112676056,-0.022383806687725258,0.10895327509274444,-0.020701089980350824,0.10368294540119338
COAD,Conch_v15,0.5653521126760562,0.050888261472790276,0.4241038586368554,0.7065843111124347,0.6130985915492958,0.00698213777912418,0.472185508558814,0.7463692755936457,-0.04774647887323957,-0.1903717296102286,0.10105111922213303,-0.1839654767536514,0.09438489369544743,-0.10645393294977565,0.010960975203296836,96,26,0.5442253521126761,0.02382634889791548,0.40841472081533337,0.6806355966741434,0.021126760563380143,-0.10128140514517828,0.14871826724299944,-0.08385364312982344,0.13774652551067987
COAD,CTransPath,0.4915492957746479,0.026453014043652027,0.338520615463511,0.6457343430103565,0.4892957746478873,0.028956424313543724,0.3489169153237131,0.6384470641325712,0.0022535211267605826,-0.12031306119872053,0.11985680990158595,-0.11165486984987126,0.11024738077409532,-0.05983706773470565,0.06434410998822679,96,26,0.45380281690140845,0.011085679197826681,0.30160126483039773,0.6100999277572544,0.03774647887323945,-0.055446164078374986,0.1439425650246717,-0.046385788930460504,0.1356003792600089
COAD,Midnight12k,0.47563380281690143,0.013859111988940697,0.33947562492167394,0.6194391846361187,0.5498591549295775,0.008899469391224872,0.41091472549546676,0.7020003711558855,-0.07422535211267606,-0.20429987309621528,0.051852236485182716,-0.2016676206645647,0.04992768231222293,-0.09559572017110707,-0.0528549840542451,96,26,0.42802816901408447,0.010306741620549677,0.28413693840961346,0.5731409881078505,0.04760563380281696,-0.05516669160945638,0.15967418433357003,-0.05446194939243289,0.1571574022970562
COAD,ResNet50,0.5554929577464789,0.022076088866979284,0.4357528876306434,0.6663478621700997,0.502112676056338,0.014075701472751168,0.34833974741604096,0.6648422245081103,0.05338028169014086,-0.1479689993828606,0.2626868234415825,-0.15258718401833413,0.25299417713760336,0.022290072969873648,0.08447049041040804,96,26,0.49352112676056337,0.07039330379237638,0.34423878553994325,0.6383928677525029,0.06197183098591552,-0.14039567371694667,0.25688738762691005,-0.1388930912967925,0.238024910394265
STAD,UNI_v2,0.6025243832472749,0.0364063592454215,0.4928823410526862,0.7149662469274642,0.6013769363166953,0.016198927358880823,0.5029696242906772,0.7036610903462138,0.0011474469305795543,-0.05343802816901414,0.05769391492603471,-0.03980096234579847,0.040769755955839745,-0.03797791488366538,0.040272808744824265,86,36,0.542512908777969,0.010339763925249613,0.43547729314890915,0.6560703812316715,0.06001147446930588,0.01658632135513566,0.11207833946189964,0.025579808585601806,0.10168265404906615
STAD,Virchow2,0.5874928284566839,0.03992018828490628,0.4871425728099126,0.6832673574981933,0.6064830751577739,0.01696660444577725,0.5107708492169281,0.6946259510565076,-0.018990246701089952,-0.10018245105071294,0.050206944970587974,-0.08337751453596295,0.040855587816541875,-0.0565255473192294,0.018545053917049276,86,36,0.5818129661503156,0.037629436992729026,0.4854294062632347,0.6784025323491526,0.0056798623063683,-0.06027810013262601,0.07201249536739034,-0.03243157957387773,0.041235901310411494
STAD,Phikon_v2,0.5559380378657487,0.017072491126065997,0.4556952383183408,0.6564036776407096,0.5219736087205966,0.005842409463270638,0.4197592469598365,0.6234548828566149,0.033964429145152075,-0.02978976947740171,0.10203419372414778,-0.02566506647753743,0.09794590082499098,0.014530906320474428,0.05339795196982968,86,36,0.5491681009753299,0.0019624361877782154,0.44264375423478414,0.658764007707747,0.006769936890418826,-0.036382653393017876,0.04618579172568695,-0.027245297514549568,0.04148251549728681
STAD,Conch_v15,0.619162363740677,0.012644063394451325,0.5081734984703459,0.7217183505369911,0.6121629374641423,0.026493975648924445,0.5077320459853306,0.714928713330723,0.006999426276534715,-0.05068508530544873,0.058980643822688875,-0.04115028654032426,0.049590454772613465,-0.014020973632644583,0.02801982618571397,86,36,0.5967871485943775,0.02767405551497271,0.48847694129303165,0.7058490451902553,0.022375215146299476,-0.018286712169652615,0.06699754529316324,-0.006852095724661363,0.052772999269567154
STAD,CTransPath,0.6030981067125646,0.004858052353417468,0.49313991114601086,0.7057517684128986,0.6078026391279404,0.0029700927379333972,0.49944146431151937,0.7073124645267395,-0.004704532415375828,-0.057250519371870395,0.05069791384138788,-0.05376643528350354,0.050195722744195634,-0.010456686350004263,0.001047621519252695,86,36,0.6165232358003443,0.007010234030570722,0.5137034181096681,0.720312218157865,-0.013425129087779708,-0.05826115780854528,0.03104308043346739,-0.05699863209809923,0.02676446320804642
STAD,Midnight12k,0.5483648881239243,0.03400588250431437,0.4487631323081646,0.6488990050871708,0.5232358003442341,0.016800402139238464,0.4300291737352669,0.6165853989774372,0.02512908777969014,-0.06406101809027577,0.11651287498883485,-0.05103991548455906,0.1043380266428808,-0.021408475885292166,0.07166665144467253,86,36,0.5289156626506024,0.013335831413203197,0.43333114495798325,0.6210746770704634,0.01944922547332184,-0.04764098597359721,0.09561721185439352,-0.03675321080445086,0.08063709587870564
STAD,ResNet50,0.5586919104991394,0.0013082907918521712,0.4458206160453909,0.6653836133597965,0.5472174411933448,0.004145127221615258,0.43716746154785613,0.6543070419630889,0.011474469305794543,-0.023833343398961197,0.04902962966921219,-0.02241183781039064,0.04838797162308335,0.005264156178998375,0.017684782432590803,86,36,0.5569707401032703,0.004281837787044268,0.4521053892805322,0.6693322414824802,0.0017211703958690538,-0.02897978603300893,0.03146002598954932,-0.02670729203058369,0.028953479144181372
